ProjectName;Key;title_desc;Type;Created;LastUpdatedStatus;LastUpdatedStatusDate;Priority;Storypoint;NumWatchers;NumComments;NumIssueLinks;NumAffectedVersions;NumFixVersions;NumChangeHistory;P;S;R
EVG;EVG-5321;build baron search plugin fails find tickets number examples last days plugin failed find ticket # mixed_workloads https evergreen mongodb com task sys_perf_linux_3_node_replset_mixed_workloads_660fb03fe223cacc1c35d3c0e7b266ab5679f31d_18_09_08_18_46_27 bf 9917 # industry_benchmarks https evergreen mongodb com task sys_perf_linux_standalone_industry_benchmarks_145f3a4368ac2efe92d58ddb2462229e5c27365c_18_08_28_21_48_50 bf 10404the search case included failing test name project bf wt server bfg textmongod log order updateddate desc project bf wt server bfg textycsb_100read order updateddate descit would useful plugin included failing task well test example project bf wt server bfg textmongod log textmixed_workloads order updateddate desc project bf wt server bfg textycsb_100read textindustry_benchmarks order updateddate descnote custom field failing tests included search bf would also found cases tickets later updated add test names;Bug;2018-09-13T09:46:27.000+0000;Open;2020-03-17T16:12:59.000+0000;Major - P3;0.0;5;10;0;0;1;147;1;0;4
EVG;EVG-5321;build baron search plugin fails find tickets number examples last days plugin failed find ticket # mixed_workloads https evergreen mongodb com task sys_perf_linux_3_node_replset_mixed_workloads_660fb03fe223cacc1c35d3c0e7b266ab5679f31d_18_09_08_18_46_27 bf 9917 # industry_benchmarks https evergreen mongodb com task sys_perf_linux_standalone_industry_benchmarks_145f3a4368ac2efe92d58ddb2462229e5c27365c_18_08_28_21_48_50 bf 10404the search case included failing test name project bf wt server bfg textmongod log order updateddate desc project bf wt server bfg textycsb_100read order updateddate descit would useful plugin included failing task well test example project bf wt server bfg textmongod log textmixed_workloads order updateddate desc project bf wt server bfg textycsb_100read textindustry_benchmarks order updateddate descnote custom field failing tests included search bf would also found cases tickets later updated add test names;Bug;2018-09-13T09:46:27.000+0000;Open;2018-09-17T19:01:23.000+0000;Major - P3;0.0;5;10;0;0;1;147;1;0;4
EVG;EVG-5321;build baron search plugin fails find tickets number examples last days plugin failed find ticket # mixed_workloads https evergreen mongodb com task sys_perf_linux_3_node_replset_mixed_workloads_660fb03fe223cacc1c35d3c0e7b266ab5679f31d_18_09_08_18_46_27 bf 9917 # industry_benchmarks https evergreen mongodb com task sys_perf_linux_standalone_industry_benchmarks_145f3a4368ac2efe92d58ddb2462229e5c27365c_18_08_28_21_48_50 bf 10404the search case included failing test name project bf wt server bfg textmongod log order updateddate desc project bf wt server bfg textycsb_100read order updateddate descit would useful plugin included failing task well test example project bf wt server bfg textmongod log textmixed_workloads order updateddate desc project bf wt server bfg textycsb_100read textindustry_benchmarks order updateddate descnote custom field failing tests included search bf would also found cases tickets later updated add test names;Bug;2018-09-13T09:46:27.000+0000;Open;2019-02-21T19:10:43.000+0000;Major - P3;0.0;5;10;0;0;1;147;1;0;4
EVG;EVG-8664;distinguish public read authorized read logs happen cedar level;New Feature;2019-06-12T17:25:20.000+0000;Closed;2019-12-17T17:38:20.000+0000;Major - P3;0.0;1;2;0;0;1;96;1;0;4
EVG;EVG-12482;convert project validation warnings errors sane grace period e g months project validation warning converted errors;Task;2020-07-10T13:14:17.000+0000;Open;2020-07-10T13:14:30.000+0000;Major - P3;0.0;1;0;3;0;1;20;1;0;4
EVG;EVG-12837;remove exception first continuous release current feed right theres code explicitly get omit first continuous release current json current based feeds however first continuous release appear feed validated ready ga;Task;2020-08-21T17:15:27.000+0000;Open;2020-08-21T17:16:37.000+0000;Major - P3;0.0;1;0;0;0;1;4;1;0;4
EVG;EVG-8912;redirecterrortooutput actually redirect stderr stdout currently opposite supposed;Task;2019-09-16T20:46:59.000+0000;Closed;2019-09-16T21:01:38.000+0000;Major - P3;0.0;1;0;0;0;0;10;1;0;4
EVG;EVG-7217;spruce assert console errors warnings add test app asserts console warnings errors new code added;New Feature;2020-01-14T13:40:47.000+0000;Open;2020-01-14T19:42:07.000+0000;Major - P3;0.0;2;1;0;0;1;41;1;0;4
EVG;EVG-7190;commit queue merges without community changes get wrong commit message commit queue patch created contains community changes message set default patch message https github com evergreen ci evergreen blob 6fd48e04af41e4c05285cac628e4e67d8be95685 operations patch_util go#l100 instead waiting message get filled modules added;Bug;2020-01-10T18:15:59.000+0000;Closed;2020-05-04T18:21:39.000+0000;Major - P3;0.0;2;4;1;0;1;53;1;0;4
EVG;EVG-6140;cannot see unittest task timing stats page id like able see timings compile_unittests cannothttps evergreen mongodb com task_timing mongodb mongo master# projectmongodb mongo masterbuildvariantenterprise windows 64 2k8 compile alltasknameunittestsrequestergitter_requestlimit2000onlysuccessfultruei think task groupcc cristopher stauffer;Bug;2019-05-02T16:01:01.000+0000;Waiting (Blocked);2019-12-04T20:50:14.000+0000;Major - P3;0.0;5;9;1;0;1;148;1;0;4
