ProjectName;Key;title_desc;Type;Created;LastUpdatedStatus;LastUpdatedStatusDate;Priority;Storypoint;NumWatchers;NumComments;NumIssueLinks;NumAffectedVersions;NumFixVersions;NumChangeHistory;P;S;R
FH;FH-3374;acquire final list stats present user require research top suggestions redhat already provided;Requirement;2017-03-19T12:05:16.000-0400;Closed;2017-04-21T10:35:13.000-0400;Major;0.0;1;0;0;0;0;8;1;0;4
FH;FH-3364;run apache benchmark tests new sync server built seemingly indestructible sync server determine limits document somewhere task run loads sync tests using apache benchmark sync server load test 1k payload sync requests performed requests performed load testing script results documented spreadsheet https docs google com spreadsheets 1s_zlqi8yil7_lgd0qj_cibu4j1tnflld_eic7hp7z0g edit#gid828999044;Task;2017-03-15T13:45:46.000-0400;Closed;2017-03-20T09:02:30.000-0400;Major;0.0;1;0;0;0;0;17;1;0;4
FH;FH-3364;run apache benchmark tests new sync server built seemingly indestructible sync server determine limits document somewhere task run loads sync tests using apache benchmark sync server load test 1k payload sync requests performed requests performed load testing script results documented spreadsheet https docs google com spreadsheets 1s_zlqi8yil7_lgd0qj_cibu4j1tnflld_eic7hp7z0g edit#gid828999044;Task;2017-03-15T13:45:46.000-0400;Closed;2017-03-24T07:53:35.000-0400;Major;0.0;1;0;0;0;0;17;1;0;4
FH;FH-3353;setup minimal sync based cloud app + client h3 whyfrom raincatch 618 weve identified potential memory leak caused idle connected sync clients see attached screenshot client connects 755 order investigate need minimal sync based app replicate h3 howcreate bare bones cloud app companion client app connect sync sync_interval times single dataset enough data changes client needed cloud app use fh component metrics report grafana installation possible cli based client would ideal instead keep browser running web client app phantomjs could acceptable alternative actual long running tests result analysis outside scope issue done follow issue;Task;2017-03-14T07:57:58.000-0400;Closed;2017-03-20T04:47:37.000-0400;Major;0.0;1;0;1;0;0;15;1;0;4
FH;FH-3255;dataset clients removed avoid problems deferred updates inactive clients whatmake changes code inactive dataset clients removed immediately dbwhyat moment dataset client inactive client accessed period time dataset client removed records dataset client checked cleaned however caused issues1 deferred sync requests chance dataset client deleted completed time sync request processed related https issues jboss org browse fh 3254 2 delete dataset client operation expensive operation inactive period set low could impact performance system 3 dataset client back later whole datasetclient dataset client records recreated based issues better delete dataset client dataset client become inactive leave database sync backend next sync request invoked dataset clients also create repeat job check dataset clients periodically delete based configuration set developer;Task;2017-03-09T12:41:00.000-0500;Verified;2017-03-10T07:44:26.000-0500;Critical;0.0;0;0;2;0;0;13;2;0;1
FH;FH-2666;include fix agdroid 541 see agdroid 541;Feature Request;2016-05-13T12:38:02.000-0400;Closed;2017-02-13T11:55:25.000-0500;Major;1.0;1;0;0;0;0;5;1;0;4
FH;FH-2668;update android library use fcm enabled agdroid library agdroid 542 implemented released fh android sdk needs updated;Enhancement;2016-05-19T04:30:27.000-0400;Closed;2016-06-23T10:21:17.000-0400;Major;1.0;1;1;0;0;1;17;1;0;4
FH;FH-2671;update push starter cordova tempates use fcm enabled aerogear cordova push plugin agcordova 145 released templates need updated use version library fcm enabled plugin;Enhancement;2016-05-19T04:41:37.000-0400;Closed;2016-09-02T04:32:28.000-0400;Major;1.0;2;3;1;0;1;25;1;0;4
FH;FH-2698;make xamarin templates available studio check xamarin saml sync blank helloworld push available inhttps github com feedhenry fh template apps blob master global json;Enhancement;2016-06-10T05:07:06.000-0400;Closed;2016-09-14T08:16:56.000-0400;Major;1.0;6;7;0;0;1;43;1;0;4
FH;FH-2699;pruning deprecated repo repos deprecated time feedhenry organisationhttps github com feedhenry fh ios sdk blank appsome deprecated part 3 11 releasehttps github com feedhenry fh xamarin sdk blank appsearch deprecated repo usually feedhenry organisation instead feedhenry templates chosen place client server templates remove old deprecated repo 6months passed deprecation deprecated check fh templates app global json reflect status deprecated repo used;Enhancement;2016-06-14T06:04:23.000-0400;Closed;2018-06-19T07:51:05.000-0400;Major;1.0;1;1;0;0;0;3;1;0;4
FH;FH-2725;release new version fh mbaas api npm fh 2723 fixed need release npm package course needs new version bumps;Task;2016-07-29T05:36:16.000-0400;Closed;2016-11-28T08:54:35.000-0500;Major;1.0;1;1;1;0;1;9;1;0;4
FH;FH-2749;add clearauthsessionwithsuccess swift sdk answer question asked marcologout invalidating session utilising ios swift sdki cannot find way invalidating user login session ios add https github com feedhenry fh ios sdk blob 085740200cc8342849201774164ceab012cc8802 fh ios sdk fh m#l393 swift sdk;Enhancement;2016-08-22T04:06:12.000-0400;Closed;2017-07-11T19:03:31.000-0400;Major;1.0;1;0;0;0;0;14;1;0;4
FH;FH-2771;include bagde info icons cloud app templates node js sdk modules nice info badge icons different services snyk io known vulnerabilities david dm org date npm module dependencies like https github com feedhenry fh mbaas api#overviewit would nice server side templates well paneltitlesustaining triage info repos cloud app templates https github com feedhenry templates include service watch fix vulnerabilities dependencies https snyk io https david dm org simply embed url readme e g dependency status using david dm org would look like codejava dependency status https img shields io david feedhenry templates helloworld cloud svgstyleflat square https david dm org feedhenry templates helloworld cloud code panel;Feature Request;2016-08-31T05:45:17.000-0400;Verified;2017-04-17T10:21:58.000-0400;Major;1.0;5;4;0;0;1;38;1;0;4
FH;FH-2783;create pocs exploring implement java 8 support fh android sdk output issue two projects project 1 aar file hand crafted classes dex file compiled jack test file see gradle consume itproject 2 fh android sdk fork two maven modules first compiled using java 8 android library second aar file contains resources android project;Task;2016-09-12T07:57:50.000-0400;Closed;2016-09-13T09:50:49.000-0400;Major;1.0;1;1;2;0;0;10;1;0;4
FH;FH-2811;cocoapods 1 0 1 migration welcome ios welcome ios swift templates forgot migrate https github com feedhenry templates welcome ios swift https github com feedhenry templates welcome ios cocoapods 1 0 1;Enhancement;2016-09-28T07:44:29.000-0400;Closed;2016-11-28T08:54:37.000-0500;Major;1.0;3;5;0;1;1;13;1;0;4
FH;FH-2539;create code snippet documentation security hash according spreadsheethttps docs google com spreadsheets 1a4aywp7cdszulp8uwgswtzl0_zi6xbzge99t1qrrskg edit#gid1244760880create snippet documentation achieve features parity across plaforms;Task;2015-11-06T04:54:38.000-0500;Closed;2018-06-19T07:51:11.000-0400;Minor;1.0;2;2;0;0;0;10;0;0;7
FH;FH-2521;update android templates use appcompatactivity templates arent using recent appcompat libraries part update remove references deprecated compat classes ie actionbaractivity replace appcompatactivity;Bug;2015-11-10T11:04:03.000-0500;Closed;2018-06-19T07:52:57.000-0400;Minor;1.0;1;1;0;0;0;25;0;0;7
FH;FH-2502;update templates app assets linked tickets open karelhttps issues jboss org browse fh 1660templates assets warning raised;Bug;2015-09-30T15:29:04.000-0400;Closed;2017-03-16T08:43:53.000-0400;Major;1.0;1;1;0;0;0;20;1;0;4
FH;FH-2502;update templates app assets linked tickets open karelhttps issues jboss org browse fh 1660templates assets warning raised;Bug;2015-09-30T15:29:04.000-0400;Closed;2017-03-16T08:41:37.000-0400;Major;1.0;1;1;0;0;0;20;1;0;4
FH;FH-2812;digger art run test welcome ios welcome ios swift app digger art test ios missing https github com fheng digger art blob master test ios testnativebuild js#l61are missinghttps github com feedhenry templates welcome ios swift https github com feedhenry templates welcome iosalrhough part studio templateshttps github com feedhenry fh template apps blob master global json#l519;Enhancement;2016-09-28T07:46:37.000-0400;Closed;2016-11-28T08:54:37.000-0500;Major;1.0;2;2;0;0;1;13;1;0;4
FH;FH-2815;merge fh csharp window 10 blank app fh csharp universal sdk blank app together new blank windows app fh csharp window 10 blank app supports windows 10 uwp andfh csharp universal sdk blank app targets windows 8 1 windows phone 8 1 merge 2 together blank windows app consistent naming sure update https github com feedhenry fh template apps blob master global json#l821 well;Feature Request;2016-10-06T05:23:38.000-0400;Closed;2018-06-19T07:51:32.000-0400;Major;1.0;1;1;0;0;0;2;1;0;4
FH;FH-3071;move android n templates master move android n templates masterversion bump templates fh templates app;Enhancement;2017-01-23T09:39:23.000-0500;Closed;2017-03-16T11:46:43.000-0400;Major;1.0;2;2;1;0;1;16;1;0;4
FH;FH-3072;move swift3 templates master move swift3 templates masterversion bump templates fh templates app;Enhancement;2017-01-10T09:22:02.000-0500;Closed;2017-03-16T11:46:23.000-0400;Major;1.0;4;6;2;0;1;29;1;0;4
FH;FH-3088;move objective c templates master move xcode8 branch objective c templates masterversion bump templates fh templates app;Enhancement;2017-01-30T09:28:01.000-0500;Closed;2017-03-16T11:46:32.000-0400;Major;1.0;2;2;1;0;1;15;1;0;4
FH;FH-3110;android helloworld app wont run device importing template 3 15 helloworld android gradle template longer contains file app src main assets fhconfig properties causes inability start app device template imported studio issue appear regular creating app studio;Bug;2017-02-07T11:39:20.000-0500;Closed;2017-03-16T11:46:47.000-0400;Major;1.0;2;4;0;1;1;14;1;0;4
FH;FH-3112;fh component metrics reports excessive cpu usage process blocked sample period currently process busy blocking long time greater 1 second read proc pid stat happen expected timeout 1 second therefore give innacurate cpu usage see gist example action avoid comparing timestamps start end read stat file instead https gist github com david martin 2355ef4ecc3dc26186cb1c89b1e1bb81;Bug;2017-02-08T09:21:00.000-0500;Closed;2017-02-09T07:19:09.000-0500;Major;1.0;0;0;0;0;0;8;1;0;4
