ProjectName;Key;title_desc;Type;Created;LastUpdatedStatus;LastUpdatedStatusDate;Priority;Storypoint;NumWatchers;NumComments;NumIssueLinks;NumAffectedVersions;NumFixVersions;NumChangeHistory;P;S;R
SERVER;SERVER-49203;jepsen smoke 15 system failure rate failures manifest like noformat 2020 06 03 202422 459 error 2020 06 03 202422 458 main jepsen cli oh jeez im sorry jepsen broke heres 2020 06 03 202422 459 java util concurrent executionexception java lang runtimeexception mongo setup ip 10 122 57 220000 timed 2020 06 03 202422 459 java util concurrent futuretask report futuretask java122 na1 8 0_252 2020 06 03 202422 459 java util concurrent futuretask get futuretask java192 na1 8 0_252 2020 06 03 202422 459 clojure corederef_future invokestatic core clj2208 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure corefuture_callreify__6962 deref core clj6688 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure corederef invokestatic core clj2228 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure corederef invoke core clj2214 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure coremapfn__4785 invoke core clj2644 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang lazyseq sval lazyseq java40 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang lazyseq seq lazyseq java49 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang rt seq rt java521 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure coreseq__4357 invokestatic core clj137 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure core protocolsseq_reduce invokestatic protocols clj24 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure core protocolsfn__6738 invokestatic protocols clj75 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure core protocolsfn__6738 invoke protocols clj75 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure core protocolsfn__6684g__6679__6697 invoke protocols clj13 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure corereduce invokestatic core clj6545 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure coreinto invokestatic core clj6610 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure coreinto invoke core clj6604 clojure 1 8 0 jarna 2020 06 03 202422 459 jepsen controlon_nodes invokestatic control clj373 jepsen 0 1 8 jarna 2020 06 03 202422 459 jepsen controlon_nodes invoke control clj357 jepsen 0 1 8 jarna 2020 06 03 202422 459 jepsen controlon_nodes invokestatic control clj362 jepsen 0 1 8 jarna 2020 06 03 202422 459 jepsen controlon_nodes invoke control clj357 jepsen 0 1 8 jarna 2020 06 03 202422 459 jepsen corerun_bang_fn__4284fn__4287 invoke core clj584 jepsen 0 1 8 jarna 2020 06 03 202422 459 jepsen corerun_bang_fn__4284 invoke core clj572 jepsen 0 1 8 jarna 2020 06 03 202422 459 jepsen corerun_bang_ invokestatic core clj553 jepsen 0 1 8 jarna 2020 06 03 202422 459 jepsen corerun_bang_ invoke core clj500 jepsen 0 1 8 jarna 2020 06 03 202422 459 jepsen clisingle_test_cmdfn__4984 invoke cli clj329 jepsen 0 1 8 jarna 2020 06 03 202422 459 jepsen clirun_bang_ invokestatic cli clj273 jepsen 0 1 8 jarna 2020 06 03 202422 459 jepsen clirun_bang_ invoke cli clj203 jepsen 0 1 8 jarna 2020 06 03 202422 459 jepsen mongodb runner_main invokestatic runner clj164 classes na 2020 06 03 202422 459 jepsen mongodb runner_main doinvoke runner clj162 classes na 2020 06 03 202422 459 clojure lang restfn invoke restfn java3894 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang var invoke var java676 clojure 1 8 0 jarna 2020 06 03 202422 459 usereval5 invokestatic form init3654414589850886228 clj1 nana 2020 06 03 202422 459 usereval5 invoke form init3654414589850886228 clj1 nana 2020 06 03 202422 459 clojure lang compiler eval compiler java6927 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang compiler eval compiler java6917 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang compiler load compiler java7379 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang compiler loadfile compiler java7317 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure mainload_script invokestatic main clj275 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure maininit_opt invokestatic main clj277 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure maininit_opt invoke main clj277 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure maininitialize invokestatic main clj308 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure mainnull_opt invokestatic main clj342 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure mainnull_opt invoke main clj339 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure mainmain invokestatic main clj421 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure mainmain doinvoke main clj384 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang restfn invoke restfn java421 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang var invoke var java383 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang afn applytohelper afn java156 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang var applyto var java700 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure main main main java37 clojure 1 8 0 jarna 2020 06 03 202422 459 caused java lang runtimeexception mongo setup ip 10 122 57 220000 timed 2020 06 03 202422 459 jepsen mongodb coredbreify__2125 setup_bang_ core clj330 classes na 2020 06 03 202422 459 jepsen dbcycle_bang_ invokestatic db clj25 jepsen 0 1 8 jarna 2020 06 03 202422 459 jepsen dbcycle_bang_ invoke db clj20 jepsen 0 1 8 jarna 2020 06 03 202422 459 clojure corepartialfn__4759 invoke core clj2516 clojure 1 8 0 jarna 2020 06 03 202422 459 jepsen controlon_nodesfn__2069 invoke control clj372 jepsen 0 1 8 jarna 2020 06 03 202422 459 clojure lang afn applytohelper afn java154 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang afn applyto afn java144 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure coreapply invokestatic core clj646 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure corewith_bindings_star_ invokestatic core clj1881 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure corewith_bindings_star_ doinvoke core clj1881 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang restfn applyto restfn java142 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure coreapply invokestatic core clj650 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure corebound_fn_star_fn__4671 doinvoke core clj1911 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang restfn invoke restfn java408 clojure 1 8 0 jarna 2020 06 03 202422 459 jepsen utilreal_pmaplauncher__1160fn__1161 invoke util clj49 jepsen 0 1 8 jarna 2020 06 03 202422 459 clojure corebinding_conveyor_fnfn__4676 invoke core clj1938 clojure 1 8 0 jarna 2020 06 03 202422 459 clojure lang afn call afn java18 clojure 1 8 0 jarna 2020 06 03 202422 459 java util concurrent futuretask run futuretask java266 na1 8 0_252 2020 06 03 202422 459 java util concurrent threadpoolexecutor runworker threadpoolexecutor java1149 na1 8 0_252 2020 06 03 202422 459 java util concurrent threadpoolexecutorworker run threadpoolexecutor java624 na1 8 0_252 2020 06 03 202422 459 java lang thread run thread java748 na1 8 0_252 noformat repeated execution latest failure https evergreen mongodb com task mongodb_mongo_master_ubuntu1804_debug_aubsan_lite_jepsen_smoke_e53293b8749c692ae2abe50ff02f4aee6fea8b84_20_06_30_10_26_41 green indicating transient error rather something linked server represents bug test infrastructure rather server fixes see are# disable task# add retry logic task# dig deeper jepsen test figure happens roughly 15 time;Bug;2020-06-30T20:03:44.000+0000;Open;2020-06-30T20:03:50.000+0000;Major - P3;0.0;3;1;0;1;1;12;1;0;4
SERVER;SERVER-50331;add genny workload maintenance events build variant add genny workload maintenance events build variant;Improvement;2020-08-17T10:12:23.000+0000;Blocked;2020-08-19T16:20:05.000+0000;Major - P3;0.0;1;0;0;0;1;9;1;0;4
SERVER;SERVER-50282;provide debugging setup script spawnhosts load artifacts coredumps overlong filenames truncating important properties actually bug ticket repurposed provide script unpackages files necessary inspecting coredump spawnhost assumes bug eventually fixed bug impacts subset cases original descriptionthe time spawn host data files test failure theres available core dump want load gdb script programmatically unpackages everything appropriate directory whether server engineers use script set gdb usage believe spawning host investigate core dump common use case unfortunately filenames long important properties trimmed https github com evergreen ci evergreen blob 86ebeb15ddc211f1390c5cc56af54a3712728e62 operations fetch go#l476 keyword coredump 1 makes difficult breaks script acceptable sort scripting isnt supported built established agreement also breaks ability corollary work hand tar tf archive afaik complete filescan point faster download coredumps hand arguably defeats purpose spawning host artifacts loaded dont know feasible solution theres probably reason filenames long uniqueness though imo unreadable ideas use shorter strings evergreen fetch generate preserve contents archive expense labeling variant task id afaik becomes problem user fetches artifacts multiple tasks directory backwords breaking established use cases consider adding flag fetch e g evergreen fetch task artifacts shortnames let users spawning host loading data opt short filenames add environment variables containing absolute paths interesting artifacts users sshing instance scripts hook without needing rely filename patterns e g bin_archive archive containing mongod dbg_archive archive containing mongod debug coredump_archive archive containing coredumps src_dir mongodb repository path fetch sources 1 noformat root ip 10 122 8 102 # data mci artifacts patch 1419_linux 64 debug_ data mci artifacts patch 1419_linux 64 debug_compiletotal 2503040 rw r r 1 root root 136935 may 19 0145 config mongodb_mongo_v4 4_linux_64_debug_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 log rw r r 1 root root 2473743732 may 19 0146 debugsymbols mongodb_mongo_v4 4_linux_64_debug_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 tgz rw r r 1 root root 84980170 may 19 0145 mongo mongodb_mongo_v4 4_linux_64_debug_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 tgz rw r r 1 root root 3536789 may 19 0145 mongodb_mongo_v4 4_linux_64_debug_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 tgz rw r r 1 root root 1097 may 19 0145 pip requirements mongodb_mongo_v4 4_linux_64_debug_compile_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 0 txt rw r r 1 root root 699562 may 19 0145 scons cache mongodb_mongo_v4 4_linux_64_debug_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 0 log data mci artifacts patch 1419_linux 64 debug_jscoretotal 120 rw r r 1 root root 80088 may 19 0145 running tests evergreen tasks locally rw r r 1 root root 1446 may 19 0145 mongo diskstats mongodb_mongo_v4 4_linux_64_debug_jscore_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 0 tgz rw r r 1 root root 29980 may 19 0145 mongo system resource info mongodb_mongo_v4 4_linux_64_debug_jscore_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 0 tgz rw r r 1 root root 1097 may 19 0145 pip requirements mongodb_mongo_v4 4_linux_64_debug_jscore_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 0 txt data mci artifacts patch 1419_linux 64 debug_retryable_writes_jscore_stepdown_passthroughtotal 1204712 rw r r 1 root root 80088 may 19 0145 running tests evergreen tasks locally rw r r 1 root root 1212594087 may 19 0146 4_linux_64_debug_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 retryable_writes_jscore_stepdown_passthrough 0 tgz rw r r 1 root root 10900 may 19 0145 4_linux_64_debug_retryable_writes_jscore_stepdown_passthrough_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 0 tgz rw r r 1 root root 20560324 may 19 0145 m_ 1 4_linux_64_debug_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 retryable_writes_jscore_stepdown_passthrough 0 tgz rw r r 1 root root 262274 may 19 0145 m_ 1 4_linux_64_debug_retryable_writes_jscore_stepdown_passthrough_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 0 tgz rw r r 1 root root 101019 may 19 0145 m_ 2 4_linux_64_debug_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 retryable_writes_jscore_stepdown_passthrough 0 tgz rw r r 1 root root 1097 may 19 0145 p 4_linux_64_debug_retryable_writes_jscore_stepdown_passthrough_patch_1d5d11155689d29bb7de42ccb5a5f4b3c7247469_5ebf0cd932f4170aad0ca35f_20_05_15_21_43_14 0 txt noformat;Improvement;2020-05-19T19:29:00.000+0000;Closed;2020-08-20T15:58:06.000+0000;Major - P3;0.0;6;5;5;0;1;75;1;0;4
SERVER;SERVER-38292;mongodb crash got signal 11 segmentation fault also issue 3 2 19 3 4 14 wt engine heres stack 3 4 14 logs brief exactly fix wt 4037 clear ticket codejava 2018 11 28t100613 885 0600 f thread2 invalid access address 02018 11 28t100613 906 0600 f thread2 got signal 11 segmentation fault 0x562636fa4a51 0x562636fa3c69 0x562636fa42d6 0x7f74ee9647e0 0x56263716bca3 0x56263716bd7c 0x562637aa1d7a 0x5626378e0466 0x5626378e05ea 0x5626378e0c08 0x5626378e3ac3 0x562637934294 0x562637934e47 0x56263792f813 0x56263792fba7 0x5626379316a3 0x56263799b906 0x7f74ee95caa1 0x7f74ee6a9c4d begin backtrace backtrace b562635a2b000 o1579a51 s_zn5mongo15printstacktraceerso b562635a2b000 o1578c69 b562635a2b000 o15792d6 b7f74ee955000 of7e0 b562635a2b000 o1740ca3 s_zn8tcmalloc11threadcache21releasetocentralcacheepns0_8freelistemi b562635a2b000 o1740d7c s_zn8tcmalloc11threadcache11listtoolongepns0_8freelistem b562635a2b000 o2076d7a s_zdlpvrkst9nothrow_t b562635a2b000 o1eb5466 s__wt_split_stash_discard b562635a2b000 o1eb55ea b562635a2b000 o1eb5c08 b562635a2b000 o1eb8ac3 s__wt_split_reverse b562635a2b000 o1f09294 b562635a2b000 o1f09e47 s__wt_evict b562635a2b000 o1f04813 b562635a2b000 o1f04ba7 b562635a2b000 o1f066a3 s__wt_evict_thread_run b562635a2b000 o1f70906 s__wt_thread_run b7f74ee955000 o7aa1 b7f74ee5c1000 oe8c4d sclone processinfo mongodbversion 3 4 14 gitversion fd954412dfc10e4d1e3e2dd4fac040f8b476b268 compiledmodules uname sysname linux release 2 6 32 754 6 3 el6 x86_64 version #1 smp tue oct 9 172749 utc 2018 machine x86_64 somap b 562635a2b000 elftype 3 buildid 64cd384c41acc8d81741f0dfc0f9a3d7756f81ff b 7fff3e8f6000 elftype 3 buildid f9f48cc73d4d61ae273899b31855c6589ee5ea8d b 7f74ef7fd000 path usr lib64 libssl 10 elftype 3 buildid becfb85a8bc084042d5bf2ba9e66325ce798b659 b 7f74ef418000 path usr lib64 libcrypto 10 elftype 3 buildid cbda444a7109874c5350ae9ceef3f82f749b347f b 7f74ef210000 path lib64 librt 1 elftype 3 buildid 552cec3216281ccfd7fa6432c723d50163255823 b 7f74ef00c000 path lib64 libdl 2 elftype 3 buildid 2af795bffd122309ba3359febabb5d0967403d17 b 7f74eed88000 path lib64 libm 6 elftype 3 buildid 4aaee970b045d8bf946578b9c7f3ab5cde9ab44a b 7f74eeb72000 path lib64 libgcc_s 1 elftype 3 buildid edc925e58fe28dca536993eb13179c739f1e6566 b 7f74ee955000 path lib64 libpthread 0 elftype 3 buildid 4ea475cd3fd3b69b6c95d9381fa74b36db4992ef b 7f74ee5c1000 path lib64 libc 6 elftype 3 buildid bca7789c2ea8e28cb7ce553e183ac7e7ee36f8a2 b 7f74efa69000 path lib64 ld linux x86 64 2 elftype 3 buildid 97af4b77212f74cff72b6c013e6aa2d74a97ef60 b 7f74ee37d000 path lib64 libgssapi_krb5 2 elftype 3 buildid 9a737f8bf10fc99c37cc404d3fc188f6e11fedd9 b 7f74ee096000 path lib64 libkrb5 3 elftype 3 buildid 8d3d6e28df6eb3752642a7031aac17d39ea4265d b 7f74ede92000 path lib64 libcom_err 2 elftype 3 buildid 7ec54d6e88bb7d2c1284117c2a483496a01eaaf4 b 7f74edc66000 path lib64 libk5crypto 3 elftype 3 buildid cc89b4c8cdccd32ba610bc72784dc3b7e9bd9e19 b 7f74eda50000 path lib64 libz 1 elftype 3 buildid 5fa8e5038ec04a774af72a9bb62dc86e1049c4d6 b 7f74ed845000 path lib64 libkrb5support 0 elftype 3 buildid e0c522c589f775c324330be09ce67dc83950a213 b 7f74ed642000 path lib64 libkeyutils 1 elftype 3 buildid af374bafb7f5b139a0b431d3f06d82014aff3251 b 7f74ed428000 path lib64 libresolv 2 elftype 3 buildid 4786a2a5d30b121601958e84d643c70c13c4fba5 b 7f74ed209000 path lib64 libselinux 1 elftype 3 buildid b4576be308ddcf7bc31f7304e4734c3d846d0236 mongod 3 4 _zn5mongo15printstacktraceerso+0x41 0x562636fa4a51 mongod 3 4 +0x1578c69 0x562636fa3c69 mongod 3 4 +0x15792d6 0x562636fa42d6 libpthread 0 +0xf7e0 0x7f74ee9647e0 mongod 3 4 _zn8tcmalloc11threadcache21releasetocentralcacheepns0_8freelistemi+0xe3 0x56263716bca3 mongod 3 4 _zn8tcmalloc11threadcache11listtoolongepns0_8freelistem+0x1c 0x56263716bd7c mongod 3 4 _zdlpvrkst9nothrow_t+0x26a 0x562637aa1d7a mongod 3 4 __wt_split_stash_discard+0xc6 0x5626378e0466 mongod 3 4 +0x1eb55ea 0x5626378e05ea mongod 3 4 +0x1eb5c08 0x5626378e0c08 mongod 3 4 __wt_split_reverse+0x83 0x5626378e3ac3 mongod 3 4 +0x1f09294 0x562637934294 mongod 3 4 __wt_evict+0xac7 0x562637934e47 mongod 3 4 +0x1f04813 0x56263792f813 mongod 3 4 +0x1f04ba7 0x56263792fba7 mongod 3 4 __wt_evict_thread_run+0xd3 0x5626379316a3 mongod 3 4 __wt_thread_run+0x16 0x56263799b906 libpthread 0 +0x7aa1 0x7f74ee95caa1 libc 6 clone+0x6d 0x7f74ee6a9c4d end backtrace code please note process generating core dump attach mongod process crashes;Bug;2018-11-28T17:25:46.000+0000;Closed;2019-02-19T01:00:03.000+0000;Major - P3;0.0;14;44;3;0;0;63;1;0;4
SERVER;SERVER-38292;mongodb crash got signal 11 segmentation fault also issue 3 2 19 3 4 14 wt engine heres stack 3 4 14 logs brief exactly fix wt 4037 clear ticket codejava 2018 11 28t100613 885 0600 f thread2 invalid access address 02018 11 28t100613 906 0600 f thread2 got signal 11 segmentation fault 0x562636fa4a51 0x562636fa3c69 0x562636fa42d6 0x7f74ee9647e0 0x56263716bca3 0x56263716bd7c 0x562637aa1d7a 0x5626378e0466 0x5626378e05ea 0x5626378e0c08 0x5626378e3ac3 0x562637934294 0x562637934e47 0x56263792f813 0x56263792fba7 0x5626379316a3 0x56263799b906 0x7f74ee95caa1 0x7f74ee6a9c4d begin backtrace backtrace b562635a2b000 o1579a51 s_zn5mongo15printstacktraceerso b562635a2b000 o1578c69 b562635a2b000 o15792d6 b7f74ee955000 of7e0 b562635a2b000 o1740ca3 s_zn8tcmalloc11threadcache21releasetocentralcacheepns0_8freelistemi b562635a2b000 o1740d7c s_zn8tcmalloc11threadcache11listtoolongepns0_8freelistem b562635a2b000 o2076d7a s_zdlpvrkst9nothrow_t b562635a2b000 o1eb5466 s__wt_split_stash_discard b562635a2b000 o1eb55ea b562635a2b000 o1eb5c08 b562635a2b000 o1eb8ac3 s__wt_split_reverse b562635a2b000 o1f09294 b562635a2b000 o1f09e47 s__wt_evict b562635a2b000 o1f04813 b562635a2b000 o1f04ba7 b562635a2b000 o1f066a3 s__wt_evict_thread_run b562635a2b000 o1f70906 s__wt_thread_run b7f74ee955000 o7aa1 b7f74ee5c1000 oe8c4d sclone processinfo mongodbversion 3 4 14 gitversion fd954412dfc10e4d1e3e2dd4fac040f8b476b268 compiledmodules uname sysname linux release 2 6 32 754 6 3 el6 x86_64 version #1 smp tue oct 9 172749 utc 2018 machine x86_64 somap b 562635a2b000 elftype 3 buildid 64cd384c41acc8d81741f0dfc0f9a3d7756f81ff b 7fff3e8f6000 elftype 3 buildid f9f48cc73d4d61ae273899b31855c6589ee5ea8d b 7f74ef7fd000 path usr lib64 libssl 10 elftype 3 buildid becfb85a8bc084042d5bf2ba9e66325ce798b659 b 7f74ef418000 path usr lib64 libcrypto 10 elftype 3 buildid cbda444a7109874c5350ae9ceef3f82f749b347f b 7f74ef210000 path lib64 librt 1 elftype 3 buildid 552cec3216281ccfd7fa6432c723d50163255823 b 7f74ef00c000 path lib64 libdl 2 elftype 3 buildid 2af795bffd122309ba3359febabb5d0967403d17 b 7f74eed88000 path lib64 libm 6 elftype 3 buildid 4aaee970b045d8bf946578b9c7f3ab5cde9ab44a b 7f74eeb72000 path lib64 libgcc_s 1 elftype 3 buildid edc925e58fe28dca536993eb13179c739f1e6566 b 7f74ee955000 path lib64 libpthread 0 elftype 3 buildid 4ea475cd3fd3b69b6c95d9381fa74b36db4992ef b 7f74ee5c1000 path lib64 libc 6 elftype 3 buildid bca7789c2ea8e28cb7ce553e183ac7e7ee36f8a2 b 7f74efa69000 path lib64 ld linux x86 64 2 elftype 3 buildid 97af4b77212f74cff72b6c013e6aa2d74a97ef60 b 7f74ee37d000 path lib64 libgssapi_krb5 2 elftype 3 buildid 9a737f8bf10fc99c37cc404d3fc188f6e11fedd9 b 7f74ee096000 path lib64 libkrb5 3 elftype 3 buildid 8d3d6e28df6eb3752642a7031aac17d39ea4265d b 7f74ede92000 path lib64 libcom_err 2 elftype 3 buildid 7ec54d6e88bb7d2c1284117c2a483496a01eaaf4 b 7f74edc66000 path lib64 libk5crypto 3 elftype 3 buildid cc89b4c8cdccd32ba610bc72784dc3b7e9bd9e19 b 7f74eda50000 path lib64 libz 1 elftype 3 buildid 5fa8e5038ec04a774af72a9bb62dc86e1049c4d6 b 7f74ed845000 path lib64 libkrb5support 0 elftype 3 buildid e0c522c589f775c324330be09ce67dc83950a213 b 7f74ed642000 path lib64 libkeyutils 1 elftype 3 buildid af374bafb7f5b139a0b431d3f06d82014aff3251 b 7f74ed428000 path lib64 libresolv 2 elftype 3 buildid 4786a2a5d30b121601958e84d643c70c13c4fba5 b 7f74ed209000 path lib64 libselinux 1 elftype 3 buildid b4576be308ddcf7bc31f7304e4734c3d846d0236 mongod 3 4 _zn5mongo15printstacktraceerso+0x41 0x562636fa4a51 mongod 3 4 +0x1578c69 0x562636fa3c69 mongod 3 4 +0x15792d6 0x562636fa42d6 libpthread 0 +0xf7e0 0x7f74ee9647e0 mongod 3 4 _zn8tcmalloc11threadcache21releasetocentralcacheepns0_8freelistemi+0xe3 0x56263716bca3 mongod 3 4 _zn8tcmalloc11threadcache11listtoolongepns0_8freelistem+0x1c 0x56263716bd7c mongod 3 4 _zdlpvrkst9nothrow_t+0x26a 0x562637aa1d7a mongod 3 4 __wt_split_stash_discard+0xc6 0x5626378e0466 mongod 3 4 +0x1eb55ea 0x5626378e05ea mongod 3 4 +0x1eb5c08 0x5626378e0c08 mongod 3 4 __wt_split_reverse+0x83 0x5626378e3ac3 mongod 3 4 +0x1f09294 0x562637934294 mongod 3 4 __wt_evict+0xac7 0x562637934e47 mongod 3 4 +0x1f04813 0x56263792f813 mongod 3 4 +0x1f04ba7 0x56263792fba7 mongod 3 4 __wt_evict_thread_run+0xd3 0x5626379316a3 mongod 3 4 __wt_thread_run+0x16 0x56263799b906 libpthread 0 +0x7aa1 0x7f74ee95caa1 libc 6 clone+0x6d 0x7f74ee6a9c4d end backtrace code please note process generating core dump attach mongod process crashes;Bug;2018-11-28T17:25:46.000+0000;Closed;2019-06-03T22:05:06.000+0000;Major - P3;0.0;14;44;3;0;0;63;1;0;4
SERVER;SERVER-37866;add performance testing verify replication lag throttled desired testing ensure lag appropriately throttled also election happens new primary chosen may want test also verify effects clock skew flow control mechanism;Task;2018-11-01T15:47:56.000+0000;Open;2018-11-01T15:48:01.000+0000;Major - P3;0.0;2;0;1;0;1;89;1;0;4
SERVER;SERVER-35714;recover common point rollback instead stable timestamp allow pit reads secondaries within previous batches able simply recover common point rollback instead recovering stable timestamp replaying oplog common point make rollback even faster easier understand recovery code used startup recovery;Improvement;2018-06-20T21:22:30.000+0000;Open;2019-10-04T04:57:34.000+0000;Major - P3;0.0;4;2;1;0;1;20;1;0;4
SERVER;SERVER-20960;default index build option support config runtime add support index build preferences config file mongod runtime parameters specifically control preferences background foreground index build options edit server 24041 following request added quote would great block foreground index creation configuration quote;New Feature;2015-10-16T03:14:25.000+0000;Closed;2019-01-17T21:12:54.000+0000;Minor - P4;0.0;27;4;4;7;0;56;0;0;7
SERVER;SERVER-49164;sweep fix missing dependencies evergreen yml noticed tasks like jscore txns large txns format dependent compile probably makes sense depend jscorehttps evergreen mongodb com task mongodb_mongo_master_enterprise_rhel_62_64_bit_dynamic_required_jscore_txns_large_txns_format_3ea60282c8841c67d4e2f3a365b7f1640c84198c_20_06_29_14_07_33while seems like someone one time sweep see theres dependencies would make sense add know doesnt fit perfectly stm charter tbh probably doesnt fit well anyones charter seems like cleanest fitcc pasette;Improvement;2020-06-29T15:05:45.000+0000;In Code Review;2020-08-20T15:03:57.000+0000;Major - P3;0.0;5;5;0;0;1;9;1;0;4
SERVER;SERVER-50397;move jepsen smoke test separate builder jepsen smoke test currently runs aubsan builder consistently purple due timing issues even though real jepsen tasks green move separate builder avoid stability issues;Task;2020-08-20T12:39:51.000+0000;Open;2020-08-20T12:39:55.000+0000;Major - P3;1.0;1;0;0;0;1;4;1;0;4
