ProjectName;Key;title_desc;Type;Created;LastUpdatedStatus;LastUpdatedStatusDate;Priority;Storypoint;NumWatchers;NumComments;NumIssueLinks;NumAffectedVersions;NumFixVersions;NumChangeHistory;P;S;R
TDP;TDP-6205;spike 1d analysis plan kubernetes migration five steps # migrate tdp services order ## dataset https jira talendforge org browse tdp 7541 ## asyncstore https jira talendforge org browse tdp 6533 ## preparation https jira talendforge org browse tdp 6525 ## transformation https jira talendforge org browse tdp 6526 ## fullrun https jira talendforge org browse tdp 6527 ## maintenance https jira talendforge org browse tdp 6528 ## api https jira talendforge org browse tdp 6524 ## gateway https jira talendforge org browse tdp 6531 ## webapp https jira talendforge org browse tdp 6530 # migrate tcomp service https jira talendforge org browse tdp 6529 # add usefull information scripts wiki page use start remote hybrid full local k8s stack https jira talendforge org browse tdp 7542 ## hybrid mode webapp local kube front developpers ## hybrid mode tdp back local kube dataset asyncstore prepapration transformation fullrun maintenance api webapp gateway remote +other dependencies remote ## hybrid mode tdp local kube # prepare script inject data needed integration tests migration tests performence tests stack mode tenants users dataset connections preparations folders https jira talendforge org browse tdp 7543 # update ci needed deploy k8s stack https jira talendforge org browse tdp 7639 # update sre release management tdp https github com talend sre release management blob master procedures tdp md https jira talendforge org browse tdp 7638 # update dns remove old tdp url color#1d1c1d int qa dw change color http tdp cloud talend com https jira talendforge org browse tdp 7640 ## https dmt tdp integrationcloud talend com https dmt tdp integrationcloud talend com https tdp cloud talend com https tdp cloud talend com ## https tdp staging integrationcloud talend com https tdp staging integrationcloud talend com https tdp staging cloud talend com https tdp staging cloud talend com ## https tdp integrationcloud talend com https tdp integrationcloud talend com https tdp us cloud talend com https tdp us cloud talend com color#1d1c1d color https tdp cloud talend com https tdp cloud talend com ## https tdp eu integrationcloud talend com https tdp eu integrationcloud talend com https tdp eu cloud talend com https tdp eu cloud talend com ## apac change https tdp ap cloud talend com https tdp ap cloud talend com;Work Item;2018-10-18T14:33:34.000-0500;Closed;2019-11-04T08:43:37.000-0600;Minor;0.0;1;0;1;0;1;44;0;0;7
TDP;TDP-8628;eng prepare tdp azure tasks plan test etc test plan hybrid dependency tdc azure;Work Item;2020-04-06T03:42:50.000-0500;Closed;2020-08-18T03:06:36.000-0500;Major;0.0;3;0;0;0;1;19;1;0;4
TDP;TDP-8528;timebox 3j tdp updating external talend lib sprint 59 apply guidance https github com talend data prep ee blob master docs wiki updating tdp dependencies md history previous tickets topic tdp 8303 tdp 8439h6 acceptance criteria dor dod dev dod review dod qa existing tu ti left unchanged green change make green think twice compatibility change log updated na;Work Item;2020-03-18T04:19:23.000-0500;Closed;2020-07-01T06:53:18.000-0500;Minor;0.0;1;0;2;0;1;16;0;0;7
TDP;TDP-8682;tb 3j eng new dictionary service architecture h4 impacts identification _impacts cloud premises_ _impacts migrations_ _impacts feature flipping_ feature visible tenant _impacts pendo_ _impacts perfs_ happen lots data users preps steps rows cols etc _impacts sre_ add label accordingly _impacts internal doc_ _impacts user doc_ _impacts installer_ _impacts security_ _impacts auto tests_ required changes new ut e2e h4 elements _tdp skills required_ front back sre qa _poc needed_ _english labels validated translation team_ na _ux defined validated_ na _to show sprint demo_ yes _need qa validation_ yes _cut tasks_ described bellow _specific delivery plan_ alignement team lm sre etc _ability estimate_ yes propose estimation mention reason need additionnal discussions input precise need h4 validation _dev_ _tech lead_ _qa_ _po_ _sm_ h4 question answer space disk issue manage retrieve potentially many artifacts service instanceh4 elementspr tds sidehttps github com talend data stewardship pull 1682 pr de base tds 5171https github com talend data stewardship pull 1702 optim postrieure tds 5227;Work Item;2020-04-14T04:32:52.000-0500;Accepted;2020-07-28T02:59:26.000-0500;Minor;0.0;1;0;0;0;0;38;0;0;7
TDP;TDP-9012;add tdp dns azure add tdp azure need add tdp dns records infra azure # az sandbox # staging x need tico tico 5419 # prod x need tico tico 5419;Work Item;2020-06-18T02:42:06.000-0500;Closed;2020-08-18T03:06:20.000-0500;Minor;0.0;1;1;0;0;1;20;0;0;7
TDP;TDP-9147;aws update bucket name settings minio tdp use minio instead s3 bucket name defined https github com talend infra minio tree master environments aws user tdp good use value defined tpsvc provisionning services env helm charts deploy status infra minio status int qa via tico 5621 staging via tico 5621 apac via tico 5621 eu via tico 5621 us via tico 5621;Work Item;2020-07-10T08:20:02.000-0500;Closed;2020-08-18T03:06:18.000-0500;Minor;0.0;1;0;1;0;1;15;0;0;7
TDP;TDP-9054;sre add access tpsvc customer bucket user tdp azure sandbox tpsvc use different bucket tdp azure need add access tpsvc customer buckettpsvc customer artifacts repositories tdp user tdp dataset dispatcher need read file tpsvc customer artifacts repositories;Work Item;2020-07-01T05:14:26.000-0500;Closed;2020-08-18T03:06:54.000-0500;Major;0.0;1;0;0;0;1;14;1;0;4
TDP;TDP-8936;doc tdp azure remove aws tags across doc;Work Item;2020-05-27T04:37:32.000-0500;Closed;2020-08-18T03:06:39.000-0500;Minor;0.0;1;0;0;0;1;18;0;0;7
TDP;TDP-7233;remove dataprep ee documentation project remove dataprep ee documentation projectsave png generated puml put wiki;Work Item;2019-05-22T04:29:25.000-0500;Closed;2019-12-30T04:35:01.000-0600;Minor;0.0;1;0;0;0;0;10;0;0;7
TDP;TDP-2992;manage preparation versioning tdatapreprun di spark studio user want use preparation version tdatapreprun order freeze preparation content let users carry working preparationh3 test cases given studio 6 4 user use tdatapreprun whatever implementation di spark must choose version preparation latest given job generated 6 3 tdatapreprun whatever implementation di spark run preparation version use latest test lookup dq dictionnariesh3 api use codetitlepost api preparations prepid versions versionid content response records metadata code;New Feature;2016-11-25T03:08:51.000-0600;Closed;2017-06-01T08:56:20.000-0500;Critical;0.0;3;3;2;0;1;46;2;0;1
