ProjectName;Key;title_desc;Type;Created;LastUpdatedStatus;LastUpdatedStatusDate;Priority;Storypoint;NumWatchers;NumComments;NumIssueLinks;NumAffectedVersions;NumFixVersions;NumChangeHistory;P;S;R
TESB;TESB-6489;esb studio publish nexus allow user change maven repository manager talend aritfact reposiory nexus publish jobs routes data services nexus instead talend artifact repository using appropiate upload interface nexus make also sure publishing via command line also works nexus;New Feature;2012-07-13T09:19:58.000-0500;Closed;2013-06-26T06:54:14.000-0500;Major;0.0;0;1;1;0;1;13;1;0;4
TESB;TESB-4180;tesb derby starter feature cannot configured remote access derby starter feature tesb starting derby localhost port 1527 starting localhost hard coded configured starting derby container way possible access database instance network example distributed test development environments infrastructure server remote system direct access database helpful least small fast solution would ask change hard coded localhost raw ip number 0 0 0 0 would make derby accessable network bigger solution would make derby starter completelly configurable expose derby configuration osgi config service;New Feature;2011-11-30T09:16:26.000-0600;Closed;2012-02-14T05:14:04.000-0600;Minor;0.0;3;1;0;0;2;20;0;0;7
TESB;TESB-1311;sts based rent car tutorial work running karaf container located next examples directory crmservice wsdllocation examples tesb crmservice common src main resources model crmservice sts wsd examples directory package sibling runtime container demo breaks actual stacktrace see attachment;Bug;2011-04-12T06:26:49.000-0500;Closed;2011-05-17T21:14:48.000-0500;Critical;1.0;0;0;0;0;1;15;2;0;1
TESB;TESB-17941;runtime default find rac featues local maven repo steps reproduce issue1 install rac artifactscd talend esb v6 1 2examplestalendtesbrent carmvn clean install2 run runtimekaraf trun featurerepo add mvnorg talend esb examples rent car features 6 1 2 xmlexception appearsadding feature url mvnorg talend esb examples rent car features 6 1 2 xmlerror executing command error resolving artifact org talend esb examples rent carfeaturesxml6 1 2 could transfer artifact org talend esb examples rent carfeaturesxml6 1 2 tesb release http admitalend123 localhost8081 nexus content repositories releases connect localhost8081 localhost 127 0 0 1 failed connection refused connect mvnorg talend esb examples rent car features 6 1 2 xmlthis problem solved 2 ways add path local maven repo manually talend esb v6 1 2containeretcorg ops4j pax url mvn cfg disable comment option org ops4j pax url mvn globalupdatepolicyalways inside talend esb v6 1 2containeretcorg ops4j pax url mvn cfgthe problem actual another runtime examples;Bug;2016-09-08T04:43:12.000-0500;Closed;2017-03-20T09:57:22.000-0500;Major;1.0;5;7;0;0;1;16;1;0;4
TESB;TESB-19078;activemq webconsole ui doesnt work expected amq webconsole still fully working e g name shown created queue sending message also doesnt work ui im able reproduce pure karaf 4 1 0 + amq 5 14 4 created new amq jira https issues apache org jira browse amq 6620 standalong amq webconsole works fine amq webconsole installed karaf;Bug;2017-03-14T03:35:00.000-0500;Closed;2017-07-03T08:43:02.000-0500;Major;1.0;2;2;1;0;1;15;1;0;4
TESB;TESB-19311;command found tesbstart aux store karaf trun tesbstart aux storecommand found tesbstart aux storethis issue happened 6 4 0 rc1 also 6 4 0 m2 karaf upgraded 4 1 x;Bug;2017-04-11T23:11:55.000-0500;Closed;2017-07-03T08:43:02.000-0500;Major;1.0;2;2;2;0;1;12;1;0;4
TESB;TESB-19342;library example adding sam feature via spring config fails 1 uncomment entries related sam event feature client context xml file library example 2 build example w sr support mvn clean install 3 form client directory run example mvn pclient actual result client fails start following exceptioncaused org springframework beans factory beandefinitionstoreexception invalid bean definition name org springframework beans factory config propertyplaceholderconfigurer#2 defined class path resource meta inf tesb agent context xml could resolve placeholder spring config location string value file spring config location agent properties nested exception java lang illegalargumentexception could resolve placeholder spring config location string value file spring config location agent properties org springframework beans factory config placeholderconfigurersupport doprocessproperties placeholderconfigurersupport java209 org springframework context support propertysourcesplaceholderconfigurer processproperties propertysourcesplaceholderconfigurer java174 org springframework context support propertysourcesplaceholderconfigurer postprocessbeanfactory propertysourcesplaceholderconfigurer java151 org springframework context support abstractapplicationcontext invokebeanfactorypostprocessors abstractapplicationcontext java703 org springframework context support abstractapplicationcontext invokebeanfactorypostprocessors abstractapplicationcontext java678 org springframework context support abstractapplicationcontext refresh abstractapplicationcontext java464 org springframework context support classpathxmlapplicationcontext init classpathxmlapplicationcontext java139 org springframework context support classpathxmlapplicationcontext init classpathxmlapplicationcontext java93 org talend services demos client libraryclient main libraryclient java13 6 morecaused java lang illegalargumentexception could resolve placeholder spring config location string value file spring config location agent properties org springframework util propertyplaceholderhelper parsestringvalue propertyplaceholderhelper java173 org springframework util propertyplaceholderhelper replaceplaceholders propertyplaceholderhelper java125 org springframework core env abstractpropertyresolver doresolveplaceholders abstractpropertyresolver java190 org springframework core env abstractpropertyresolver resolverequiredplaceholders abstractpropertyresolver java164 org springframework context support propertysourcesplaceholderconfigurer2 resolvestringvalue propertysourcesplaceholderconfigurer java167 org springframework beans factory config beandefinitionvisitor resolvestringvalue beandefinitionvisitor java282 org springframework beans factory config beandefinitionvisitor resolvevalue beandefinitionvisitor java204 org springframework beans factory config beandefinitionvisitor visitpropertyvalues beandefinitionvisitor java141 org springframework beans factory config beandefinitionvisitor visitbeandefinition beandefinitionvisitor java82 org springframework beans factory config placeholderconfigurersupport doprocessproperties placeholderconfigurersupport java206;Bug;2017-04-18T01:22:39.000-0500;Closed;2017-07-03T08:43:05.000-0500;Minor;1.0;2;1;1;0;1;11;0;0;7
TESB;TESB-19415;esb runtime freeze console input windows 7 console input freezing typing first command case report list see attached image windows 7 cusersdlenzenjava versionjava version 1 8 0_121java tm se runtime environment build 1 8 0_121 b13 java hotspot tm 64 bit server vm build 25 121 b13 mixed mode installation path iof path size issue etalend6 4 0_20170425_1932tesb v640 nbcontainer;Bug;2017-04-26T10:43:08.000-0500;Closed;2017-07-03T08:43:06.000-0500;Critical;0.5;4;6;1;0;1;19;2;0;1
TESB;TESB-17307;unexpected npe warn message appear running route ckafka running route ckafka run success npe warning message code statistics connecting socket port 3951 statistics connected warn kafka common appinfo cant read kafka version manifest mf possible cause java lang nullpointerexception warn org apache camel component mqtt mqttendpoint topic subscriptions specified configuration warn org apache camel component kafka kafkaproducer message key partition key set warn mqmultireceiver clog_3 cmqtt1hello 104020 warn org apache camel component kafka kafkaproducer message key partition key set warn mqmultireceiver clog_3 cmqtt1hello 112042 warn org apache camel component kafka kafkaproducer message key partition key set warn mqmultireceiver clog_3 cmqtt1hello 112526 code delete npe warn message;Bug;2016-05-03T22:50:45.000-0500;Closed;2017-03-20T09:57:13.000-0500;Minor;1.0;5;4;2;0;1;47;0;0;7
TESB;TESB-15877;cmqconnectionfactory fields authentication parameters mq server mqtt component cmqconnectionfactory mq server mqtt user cant set authentication username password authentication parameters added demo project mq routes improved work authentication important demo routes run activemq installed tesb container;New Feature;2015-07-13T05:00:43.000-0500;Validation;2015-07-21T08:24:13.000-0500;Minor;1.0;1;1;1;0;1;16;0;0;7
TESB;TESB-9359;cjmsconnectionfactory use http activemq deploy runtime java lang exception casehttps testlink talendforge org linkto phptprojectprefixtesbqaitemtestcaseidtesbqa 539there featurehttps jira talendforge org browse tesb 7545;Bug;2013-04-25T01:45:46.000-0500;Closed;2013-06-25T03:08:44.000-0500;Major;1.0;0;3;0;0;2;14;1;0;4
TESB;TESB-9453;cellar webconsole empty page executing cellar test plan problem found cellar web consolekaraf trun featuresinstall cellarkaraf trun featuresinstall cellar webconsoleweb console started without exceptions loghttp localhost8040 system console get karaf web console see cluster groups buttongo cluster groups see empty pagecurrent version cellar tesb 2 3 0 snapshot;Bug;2013-04-26T05:46:37.000-0500;Closed;2013-06-25T03:05:40.000-0500;Minor;1.0;0;2;2;0;2;16;0;0;7
