ProjectName;Key;title_desc;Type;Created;LastUpdatedStatus;LastUpdatedStatusDate;Priority;Storypoint;NumWatchers;NumComments;NumIssueLinks;NumAffectedVersions;NumFixVersions;NumChangeHistory;P;S;R
THORN;THORN-2000;microprofile health security realm yaml possible configure security realm yaml healthfraction microprofile tried following keys codejava swarm microprofile health security realm managementrealm health security realm managementrealm code krmarkus;Bug;2018-04-25T10:41:40.000-0400;Closed;2018-05-31T13:05:41.000-0400;Major;0.0;0;1;0;1;1;3;1;0;4
THORN;THORN-2155;add packagefractiondetector microprofile opentracing microprofile opentracing missing fraction auto detection http docs wildfly swarm io 2 1 0 final #auto detection problem running arquillian tests using org eclipse microprofile opentracing clienttracingregistrar#configure;Bug;2018-09-03T09:31:45.000-0400;Closed;2018-09-05T10:18:44.000-0400;Major;0.0;0;0;0;1;1;7;1;0;4
THORN;THORN-1967;provide ability enable b3 header propagation jaeger currently way enable b3 header propagation jaeger necessary existing tracing headers propagated istio environments;Enhancement;2018-04-11T15:16:53.000-0400;Closed;2018-05-25T07:43:24.000-0400;Major;1.0;1;0;0;0;1;7;1;0;4
THORN;THORN-1970;multistart mojo detect classifier current code detect classifier thus load swarm artifacts proposal simply use swarm classifier since context swarm primary classifier;Bug;2018-04-12T07:03:43.000-0400;Closed;2018-05-25T07:43:22.000-0400;Trivial;1.0;1;0;2;1;1;8;0;0;7
THORN;THORN-1974;fraction plugin support repeatable configurable result repeating configurable annotations ignored config item name calculated e g org wildfly swarm undertow undertowfraction#alias annotations ignored calculated name swarm undertow alias;Bug;2018-04-12T14:19:59.000-0400;Closed;2019-03-14T06:16:40.000-0400;Major;1.0;2;3;1;0;1;9;1;0;4
THORN;THORN-1981;include infinispan fraction full enable caching passivation know explicitly excluded considering recent thread swarm mailing list started thinking 2 things popped jpa 2nd level cache stateful ejb passivation require infinispan even though nothing clustering also probably mandated java ee spec though exactly sure thoughts;Enhancement;2018-04-17T05:11:08.000-0400;Closed;2019-03-14T06:16:38.000-0400;Major;1.0;1;0;0;0;1;10;1;0;4
THORN;THORN-1984;remove ribbon secured update keycloak demo instead ribbons secured disabled built identical ribbon frontend ui keycloak login button imho easier users experiment login button part keycloak demo example users try access secured resource curl also ui removing ribbon secured clean examples bit ribbon demo still around;Task;2018-04-18T08:04:58.000-0400;Closed;2018-05-25T07:43:24.000-0400;Minor;1.0;1;1;0;1;1;6;0;0;7
THORN;THORN-1990;gradle package task generating artifact right name fix swarm 1782 partly broken gradle tool final artifact file end swarm jar package task pass final artifact name build tool;Bug;2018-04-22T02:43:41.000-0400;Closed;2018-05-25T07:43:23.000-0400;Minor;1.0;1;1;0;1;1;5;0;0;7
THORN;THORN-1996;swarm deployment key web login config realm name always set ignored swarm deployment key web login config realm name always set ignored https github com wildfly swarm wildfly swarm blob master fractions javaee undertow src main java org wildfly swarm undertow runtime httpsecuritypreparer java#l86thus realm name set via yaml config especially users migrating existing application swarm may want set proper realm name also swarm deployment configuration well documented currently following mentioned http docs wildfly swarm io 2018 4 1 #_undertow noformat swarm deploymentmap security configuration deployment noformat;Bug;2018-04-25T07:02:39.000-0400;Closed;2019-01-16T15:23:57.000-0500;Major;1.0;1;0;0;1;1;8;1;0;4
THORN;THORN-1999;openapi endpoint needs query param accept header return json accessing openapi definition jax rs app mp+openapi enabled following endpoint used openapithis endpoint returns generated openapi document return type yaml default two ways alter http request ask server json instead add formatjson query parameter send application json accept header current implementation requires conditions met return json;Bug;2018-04-25T10:09:00.000-0400;Closed;2018-09-05T10:18:43.000-0400;Major;1.0;4;4;1;1;1;10;1;0;4
