ProjectName;Key;title_desc;Type;Created;LastUpdatedStatus;LastUpdatedStatusDate;Priority;Storypoint;NumWatchers;NumComments;NumIssueLinks;NumAffectedVersions;NumFixVersions;NumChangeHistory;P;S;R
TIDOC;TIDOC-2692;ti ui modules reference deprecated namespace certain modules properties reference deprecated ti ui iphone text reference ti ui ios please see# ti ui listview## resultsseparatorstyle# ti ui tableview## scrollindicatorstyle## style# ti ui window## main description ios behavior section## ios platform notes ios transition animations section text code samples## statusbarstyle## toolbar;Bug;2016-11-11T17:01:42.000+0000;Closed;2017-12-19T17:17:56.000+0000;None;0.0;1;1;1;1;0;13;0;0;7
TIDOC;TIDOC-3232;method docs loses second parameter volkov via slackhello looks like problem documentation renderer loses second parameterhttps docs appcelerator com platform latest # api titanium ui scrollview method setcontentoffsethttps github com appcelerator titanium_mobile blob master apidoc titanium ui scrollview yml#l51;Bug;2018-08-27T14:27:30.000+0000;Closed;2018-09-04T16:48:50.000+0000;High;0.0;3;2;0;0;1;17;2;0;1
TIDOC;TIDOC-1227;filter api docs platform searching api times would really handy able focus particular platform say blackberry apis available methods etc would great could filter specific platform show apis availble platform;New Feature;2013-08-08T13:57:00.000+0000;Closed;2014-08-04T21:28:43.000+0000;Medium;0.0;6;9;1;0;1;32;1;0;4
TIDOC;TIDOC-3192;legacy wiki leads deadlink docs going https wiki appcelerator org pages viewpage actionpageid29002574 says quote documentation relates previous versions titanium see latest documentation visit docs appcelerator com http docs appcelerator com titanium latest quote docs link leads http docs appcelerator com titanium latest exist instead link https docs appcelerator com platform latest # api;Story;2018-05-26T20:34:18.000+0000;Closed;2018-06-04T15:34:58.000+0000;Critical;0.0;2;2;0;0;0;6;2;0;1
TIDOC;TIDOC-3170;broken link api documentation modules map https docs appcelerator com platform latest # api modules map documentation following sentence android sectionfor instructions examples using module refer google maps v2 android guide links broken link http docs appcelerator com titanium latest # guide google_maps_v2_for_android;Bug;2018-04-19T15:20:32.000+0000;Closed;2018-10-17T16:55:23.000+0000;Low;0.0;1;3;0;0;1;7;0;0;7
TIDOC;TIDOC-3125;storing user credentials keystore android storing user credentials ti app properties android extract values manifest xml using reverse engineering technique security reasons want store keystore way module created accomplish requirementcurrently ti identity module ios store user credentials keychain need similar kind module android;New Feature;2018-02-05T11:58:54.000+0000;Closed;2018-12-21T21:03:46.000+0000;Critical;0.0;4;8;0;0;0;9;2;0;1
TIDOC;TIDOC-1896;port doc scripts python javascript titanium mobile dropping tooling support python favor node jsimplement fields part tdoc spec currently exported python tooling osver value property constants;Epic;2014-09-29T19:53:19.000+0000;Closed;2014-10-28T18:09:51.000+0000;High;0.0;1;1;6;0;0;24;2;0;1
TIDOC;TIDOC-3175;ti ui webview documentation broken missing right documentation seems completely missing says abstract type https docs appcelerator com platform latest # api titanium ui webviewexpected resultdocs visible;Bug;2018-04-24T12:37:51.000+0000;Closed;2018-05-01T16:03:50.000+0000;Critical;1.0;2;4;0;0;1;8;2;0;1
TIDOC;TIDOC-3179;audioplayer deprecated links audiosessionmode audioplayer documentation linking audiosessionmode deprecated replaced audiosessioncategory since tisdk 6 0pr https github com appcelerator titanium_mobile pull 10018;Improvement;2018-05-01T10:28:08.000+0000;Closed;2018-10-17T17:48:16.000+0000;Trivial;1.0;2;2;0;0;1;13;0;0;7
TIDOC;TIDOC-3184;add note remote image caching android 6+ since titanium 3 x remote images automatically cached android works android 5 doesnt work android 6 default due new runtime permission model default android 6 later titanium reloads images every time calling ti filesystem requeststoragepermissions app start fixes problem images cached behavior documented somewhere maybe http docs appcelerator com platform latest # guide image_best_practices section src 30082525_imagebestpractices cachingremoteimages http docs appcelerator com platform latest # guide image_best_practices section src 30082525_imagebestpractices cachingremoteimages developers aware;Improvement;2018-05-03T12:00:53.000+0000;Closed;2018-10-17T17:46:12.000+0000;Critical;1.0;2;1;0;0;0;5;2;0;1
TIDOC;TIDOC-3185;possible confusion configuring push services document possible confusion docs setting push notifications says docs application development select apple push notification service ssl sandbox production applications select apple push notification service ssl production click continue however apples site sandbox production production sandbox development im actually sure one choose one creates different cert type apple push servicesvs apns development ios https docs appcelerator com platform latest # guide configuring_push_services section src 37551713_configuringpushservices configuringpushservicesforiosdevicessolution add sandbox #4# log apple developer member center team agent admin # click certificates identifiers profiles # click certificates click add + button near top right corner # application development select apple push notification service ssl sandbox production applications select apple push notification service ssl sandbox production click continue # select app id created previously drop list click continue # follow instructions provided creating certificate signing request csr click continue youve created csr # locate csr created click generate returned certificates page status listed pending wait moment refresh page browser asked approve request click approve # click download download certificate cer file computer # double click file install keychain;Improvement;2018-05-03T17:36:50.000+0000;Closed;2018-10-17T16:53:32.000+0000;Medium;1.0;1;1;0;0;1;5;1;0;4
TIDOC;TIDOC-3189;android intent getextra methods bool int long double require 2 args summarythe following android intent methods mis documented getbooleanextra https docs appcelerator com platform latest # api titanium android intent method getbooleanextra getintextra https docs appcelerator com platform latest # api titanium android intent method getintextra getlongextra https docs appcelerator com platform latest # api titanium android intent method getlongextra getdoubleextra https docs appcelerator com platform latest # api titanium android intent method getdoubleextra methods requires 2 arguments 1 argument 2nd argument must default value returned case given name could found passing 1 argument methods cause exception notethe getstringextra getblobextra documented correctly 2 methods require 1 argument;Bug;2018-05-18T02:05:11.000+0000;Closed;2018-05-18T06:56:57.000+0000;Medium;1.0;1;0;0;0;1;3;1;0;4
TIDOC;TIDOC-3142;update studio screenshot deploying android devices guide appcelerator studio screenshot deploying android devices connect device section old needs replaced especially since shows blackberry tizen mobile web support anymore https wiki appcelerator org display guides2 deploying+to+android+devices#deployingtoandroiddevices connectthedevice;Improvement;2018-03-19T20:24:15.000+0000;Closed;2019-06-24T20:50:21.000+0000;Medium;1.0;1;2;0;0;1;8;1;0;4
