ProjectName;Key;title_desc;Type;Created;LastUpdatedStatus;LastUpdatedStatusDate;Priority;Storypoint;NumWatchers;NumComments;NumIssueLinks;NumAffectedVersions;NumFixVersions;NumChangeHistory;P;S;R
WINDUP;WINDUP-2273;windup web distribution readme contains link obsolete build script script windup web dist build sh referenced readme script datea new windup local build scripts github repo created readme needs changed reference script within repo equally readme windup distribution contain link equivalent script building cli;Bug;2018-11-26T07:14:12.000-0500;Closed;2019-02-01T07:16:31.000-0500;Minor;1.0;1;0;0;1;0;18;0;0;7
WINDUP;WINDUP-2274;new scripts locally building rhamt cli rhamt web ui update scripts within https github com windup windup local build scripts repository cli web ui distributions built locally target distribution unpacked via single command;Task;2018-11-30T03:51:36.000-0500;Closed;2018-12-21T12:27:50.000-0500;Minor;1.0;1;1;0;1;1;6;0;0;7
WINDUP;WINDUP-2290;update windup web project instructions update instructions windup web readme file work latest ui tools;Bug;2019-01-17T07:51:16.000-0500;Closed;2019-01-17T09:45:56.000-0500;Minor;1.0;1;1;0;1;1;5;0;0;7
WINDUP;WINDUP-2301;vscode readme create readme rhamt vscode plugin software engineer within team empowered build test plugin locally;Task;2019-02-01T10:54:07.000-0500;Closed;2019-03-01T07:31:23.000-0500;Major;1.0;1;0;0;1;0;8;1;0;4
WINDUP;WINDUP-2300;rhamt vscode repository task secure development work done date rhamt vscode plugin new github com windup rhmat vscode extension repository;Task;2019-02-01T07:24:52.000-0500;Closed;2019-02-05T15:07:54.000-0500;Major;1.0;1;0;0;1;0;8;1;0;4
WINDUP;WINDUP-2241;ehcache jar recognised 3rd party app dependencies graph see attached screenshot repro app mvn clean install dskiptests https github com jeichler weblogic jms case tree rhamt reproducer;Bug;2018-10-22T06:07:21.000-0400;Closed;2019-02-07T08:48:36.000-0500;Major;1.0;3;3;0;2;1;19;1;0;4
WINDUP;WINDUP-2204;eap analysis check application analised run eap application uses java ee jakarta tecnologies run eap;Story;2018-10-10T07:40:25.000-0400;Closed;2019-03-18T13:20:36.000-0400;Major;1.0;2;4;0;0;0;20;1;0;4
WINDUP;WINDUP-2231;docs correct urls eclipse plugin page links eclipse plugins windup html date updated version;Task;2018-10-16T23:06:18.000-0400;Closed;2018-10-24T10:26:34.000-0400;Major;1.0;1;1;0;0;1;4;1;0;4
WINDUP;WINDUP-2185;brownie lib jar considered 3rd party archive analyzing brownie ear application https github com maarc brownie dependency graph turned brownie lib jar considered 3rd party archive please find reason happened exclude potentially un analyzed customer libs right;Bug;2018-09-28T13:30:13.000-0400;Closed;2018-10-01T12:09:10.000-0400;Major;1.0;2;2;0;1;1;12;1;0;4
WINDUP;WINDUP-2185;brownie lib jar considered 3rd party archive analyzing brownie ear application https github com maarc brownie dependency graph turned brownie lib jar considered 3rd party archive please find reason happened exclude potentially un analyzed customer libs right;Bug;2018-09-28T13:30:13.000-0400;Closed;2018-10-08T05:23:33.000-0400;Major;1.0;2;2;0;1;1;12;1;0;4
WINDUP;WINDUP-843;help description install remove incorrect help description windup help commands install remove says install remove required addons exit implementations _dont_ exit execute method returns commandresult continue hand help description list says list installed addons exit correct listaddonscommand execute returns commandresult exit fixed guess install remove commands _should_ exit execute method changed return commandresult exit final call course guys;Bug;2015-11-26T05:52:14.000-0500;Resolved;2018-05-16T11:46:36.000-0400;Minor;1.0;1;0;0;1;1;15;0;0;7
