ProjectName;Key;title_desc;Created;Priority;Storypoint;P;S;R
APSTUD;APSTUD-3858;aptana freezes opening folder file created inside secound time aptana freezes locks complete os opening folder app explorer file created folder im try open able get system back via switching new shell strg + alt + f1 killing java pid;2011-11-16T10:46:18.000+0000;High;0.0;2;0;1
APSTUD;APSTUD-4015;aptana studio 3 0 initially opens files significantly slower studio 1 5 series tests appears aptana studio 3 x signifigantly slower 1 5 opening files test empty workspace except one web project project contains 11 web files homepage google com attached restart studio let processes finish right click file open html editor aptana studio 1 5 avg 1 75 sec aptana studio 3 0 7 avg 2 35 sec note addition browser previews 1 5 seems make difference removing materially impact times time open filesselect files right click open aptana studio 1 5 1 4 secondsaptana studio 3 1 5 1 7 secondsstudio 3 reliably slower though hair _feels_ slower opening edit state testaptana studio 1 5 4 seconds opening typingaptana studio 3 8 seconds open 18 seconds able type waiting colorization fwiw typing speed atrocious studio 1 5 file chars sec best opening way faster browser tabsseem nothing;2011-12-22T08:19:48.000+0000;High;0.0;2;0;1
APSTUD;APSTUD-4030;dont block ide usage updating user bundles currently updating rubles script commands bundle development update user bundles may hang ide time suggested moving java would give better feedback end user avoid may depend cache files pulled source control built build server instead part packaging steps;2011-12-27T11:08:59.000+0000;High;0.0;2;0;1
APSTUD;APSTUD-4809;associating file external editor works aptana studio restarted configure external editor extension aptana studio ie jpg po etc launching editor functional start new aptana studio instance quit aptana studio run aptana studio click file open external editor following error dialog appears noformat problem opening editorreason problem opening editor filename ext unable open external editor externaleditorname externaleditorname noformat reconfigure editors extension delete editor add functional next restart aptana studio;2012-05-10T02:30:05.000+0000;Low;0.0;0;0;7
APSTUD;APSTUD-4802;exception arises trying comment selected text block editing javascript file random occasions aptana studio failed comment selected block text editing javascript source file error produced stack trace console code 2012 05 09 112404 error occurred processing invoke block command comment line selection dprogram filesaptana studio 3configurationorg eclipse osgibundles871 cpbundlessource rublecommandstoggle_comment rb native exception class java lang nullpointerexception message null stacktrace java lang nullpointerexceptionat org eclipse jface text source projection projectionviewer exposemodelrange projectionviewer java1312 org eclipse jface text source projection projectionviewer handleverifyevent projectionviewer java1264 org eclipse jface text textviewertextverifylistener verifytext textviewer java435 org eclipse swt widgets typedlistener handleevent typedlistener java265 org eclipse swt widgets eventtable sendevent eventtable java84 org eclipse swt widgets widget sendevent widget java1053 org eclipse swt widgets widget sendevent widget java1077 org eclipse swt widgets widget sendevent widget java1062 org eclipse swt widgets widget notifylisteners widget java774 org jruby exceptions raiseexception native exception class java lang nullpointerexception message null stacktrace java lang nullpointerexceptionat org eclipse jface text source projection projectionviewer exposemodelrange projectionviewer java1312 org eclipse jface text source projection projectionviewer handleverifyevent projectionviewer java1264 org eclipse jface text textviewertextverifylistener verifytext textviewer java435 org eclipse swt widgets typedlistener handleevent typedlistener java265 org eclipse swt widgets eventtable sendevent eventtable java84 org eclipse swt widgets widget sendevent widget java1053 org eclipse swt widgets widget sendevent widget java1077 org eclipse swt widgets widget sendevent widget java1062 org eclipse swt widgets widget notifylisteners widget java774 org eclipse jface text source projection projectionviewer exposemodelrange projectionviewer java1312 org eclipse jface text source projection projectionviewer handleverifyevent projectionviewer java1264 org eclipse jface text textviewertextverifylistener verifytext textviewer java435 org eclipse swt widgets typedlistener handleevent typedlistener java265 org eclipse swt widgets eventtable sendevent eventtable java84 org eclipse swt widgets widget sendevent widget java1053 org eclipse swt widgets widget sendevent widget java1077 org eclipse swt widgets widget sendevent widget java1062 org eclipse swt widgets widget notifylisteners widget java774 caused java lang nullpointerexception 9 code;2012-05-09T03:22:50.000+0000;Medium;0.0;1;0;4
APSTUD;APSTUD-4780;upgrading version 3 1 1 201204131931 aptana frequently crashes shutting latest automatic upgrade aptana frequently started crashing closing application usually happens aptana running time never happened opening closing fast attached dump automatically generated sent apple;2012-05-04T14:03:22.000+0000;Medium;0.0;1;0;4
APSTUD;APSTUD-4751;projects dont appear anymore project explorer app explorer today started aptana usual projects project explorer app explorer try add import add project workspace etc cant msg projects cannot imported already exist workspace add new project appears correctly time launch aptana older ones project menu open project close project greyed project explorer top level elements set projects working set activated neither another workspace everything ok tried change java version tried openjdk 6 7 java 7 case tried reboot case;2012-04-30T09:48:12.000+0000;Low;0.0;0;0;7
APSTUD;APSTUD-4742;write unit tests verify jslint rules based findings apstud 4690 implement rules new validator;2012-04-29T22:40:45.000+0000;High;0.0;2;0;1
APSTUD;APSTUD-4710;aptana editor bug text jumps around doesnt type place cursor bit copied another issue exact issue im didnt feel needed write using build 3 1 1 201204131931this really sporadic bug happens attached video displays problem basically text editor jumps around dont know line actually bit like magic show makes editor unusable havent able work fix ive hoped several version releases go away persisted bug report hope shed light see attached video buggy demonstration link older issue https aptanastudio tenderapp com discussions problems 2646 aptana editor bug text jumps around doesnt type place cursor;2012-04-24T01:30:09.000+0000;High;0.0;2;0;1
APSTUD;APSTUD-4811;editors behave strange using block selection mode block selection mode active chances lost keystrokes focus editor js editor example lose focus couple seconds php editor enter key effect html seems unaffected far deselect block selection mode normal;2012-05-10T06:33:19.000+0000;Low;0.0;0;0;7
