ProjectName;Key;title_desc;Created;Priority;Storypoint;P;S;R
JBDS;JBDS-4412;devsuite 1 4 installer make progress status clearer easier see overall installation progress devsuite 1 4 difficult see youve got scroll back forth boxes look small text indicates whats going suggestions# overall progress top# indication still working# status text boxes color size version number comment text making difficult pick easy miss status text updated;2017-05-24T12:51:26.000-0400;Minor;0.0;0;0;7
JBDS;JBDS-4113;uninstaller folder empty installation done installation uninstaller folder empty error message install log file code thu 13 oct 2016 235218 gmt error data error enoent file directory lstat cprhdpitranspiledbrowseruninstalleruninstall ps1 code;2016-10-13T20:19:53.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4109;virtualbox detection work mac os x detection work mac first steps assume windows detection done using environment variable produces path virtualbox installation folder mac goes different way uses virtualbox returns path actual executable file folder;2016-10-12T14:45:15.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4079;typo folder name unistaller typo png;2016-10-04T09:43:30.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4072;log relevant environment variables log contain relevant environment variables usually path virtualbox vagrant related variables installer dumps whole environment file might accidentally put private info passwords alike info log file;2016-09-29T23:37:14.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4067;review labels shown software components confirmation page confirmation page installer shows list components software stack components detection algorithm find already installed components installer skip install term selected set version required components required recommended tested;2016-09-28T04:17:49.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4060;devsuite installer download progress bars stop 99 download finished progress bars stops previous update leads progress status showing 99;2016-09-23T13:26:46.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4049;cannot install devstudio 10 1 0 ga eclipse neon 1 rc3 remediation required steps repro1 download eclipse jee neon 1 rc3 linux gtk x86_64 tar gz unpack run2 help eclipse marketplace search jboss install red hat jboss developer studio 10 1 0 ga3 remediation needed code cannot complete install conflicting dependency software installed red hat jboss developer studio core features 10 1 0 v20160902 1725 com jboss devstudio core feature feature group 10 1 0 v20160902 1725 software currently installed javascript development tools 2 0 0 v201608301904 org eclipse wst jsdt feature feature group 2 0 0 v201608301904 one following installed javascript development tools core 2 0 0 v201603171403 org eclipse wst jsdt core 2 0 0 v201603171403 javascript development tools core 1 3 401 v201511181529 org eclipse wst jsdt core 1 3 401 v201511181529 javascript development tools core 2 0 0 v201608251059 org eclipse wst jsdt core 2 0 0 v201608251059 javascript development tools core 2 0 0 v201604281930 org eclipse wst jsdt core 2 0 0 v201604281930 javascript development tools core 2 0 0 v201605251700 org eclipse wst jsdt core 2 0 0 v201605251700 cannot satisfy dependency red hat jboss developer studio core features 10 1 0 v20160902 1725 com jboss devstudio core feature feature group 10 1 0 v20160902 1725 com jboss devstudio core rpm feature feature group 10 1 0 v20160902 1725 cannot satisfy dependency red hat jboss developer studio rpm features 10 1 0 v20160902 1725 com jboss devstudio core rpm feature feature group 10 1 0 v20160902 1725 org eclipse wst jsdt feature feature group 2 0 0 v201605311817 cannot satisfy dependency javascript development tools 2 0 0 v201605311817 org eclipse wst jsdt feature feature group 2 0 0 v201605311817 org eclipse wst jsdt core 2 0 0 v201605251700 cannot satisfy dependency javascript development tools 2 0 0 v201608301904 org eclipse wst jsdt feature feature group 2 0 0 v201608301904 org eclipse wst jsdt core 2 0 0 v201608251059 code ds10 1_on_neon 1 rc3_remediation_needed png;2016-09-14T12:57:30.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4048;checking installed openjdk gets stucked windows 7 checking installed component gets stucked see pic;2016-09-07T10:12:32.000-0400;Blocker;1.0;2;0;1
JBDS;JBDS-4035;missing uninstall ps1 script platform installer doesnt copies uninstall ps1 script target_folter uninstall directory target folder already exists;2016-09-01T05:39:44.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4034;update cygwin 2 6 0 new cygwin 2 6 0 released point download installer started reported failures installer replaced new one seems reverted old one installs cygwin 2 6 0 online repositories;2016-09-01T04:50:48.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4031;installer refuses install cygwin im using devsuite 1 1 0 ga 20160831 126 installer exe instaler refuses install cygwin bad sha1 seems;2016-08-31T11:26:46.000-0400;Blocker;1.0;2;0;1
JBDS;JBDS-4126;include latest openjdk 8 build 111 installer latest openjdk build available developers redhat com https developers redhat com download manager file java 1 8 0 openjdk 1 8 0 111 1 b15 redhat windows x86_64 msi sha256 fc4c77412446d6bbf6bf91d76d4bb5cf5d1e94dc1e932f524796e3f8a9789ccc;2016-10-19T19:02:24.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4030;cant use vagrant 1 7 4 installer installer claims vagrant minimum 1 7 4 installer refuses continueim using devsuite 1 1 0 ga 20160831 126 installer exe see screenshot 1 png;2016-08-31T10:49:44.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4027;update requirements json included installer devstudio sha256 remote file current implementation would fail verify sha download see jbds 4026;2016-08-31T06:29:51.000-0400;Critical;1.0;2;0;1
JBDS;JBDS-4019;download manager sha checks fail stream flushed checking per discussion today denis seeing frequent failures download things dm ostensibly sha check failing suggestion caused checking sha whole download flushed disk resulting frequent download failures 98 99 completeness https github com redhat developer tooling developer platform install blob master browser model helpers downloader js#l83;2016-08-25T13:08:14.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4005;use https redirects cygwin installer oc origin cli external downloads use https redirects possible rhdeng 7441 https developers redhat com redirect oc origin cli 1 2 0 download https github com openshift origin releases download v1 2 0 openshift origin client tools v1 2 0 2e62fab windows zip2 https developers redhat com redirect cygwin installer 2 5 2 download https cygwin com setup x86_64 exe;2016-08-17T03:42:54.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4004;update cdk 2 2 cr1 build 0 http cdk builds usersys redhat com builds weekly latest build 1 http cdk builds usersys redhat com builds weekly 12 aug 2016 rc1 2 https brewweb engineering redhat com brew buildinfobuildid508743;2016-08-16T18:50:31.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4003;update oc origin 1 2 0 oc origin used devsuite installer updated 1 2 0 synch one installed vagrant service manager install cli command;2016-08-16T05:44:09.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4002;openjdk detection work build 1 8 0_101 changed format version console output installer cannot detect installed jvm;2016-08-16T04:35:05.000-0400;Major;1.0;1;0;4
JBDS;JBDS-4001;update vagrant virtualbox links redirects developer redhat com currently use direct links going updates redirects available see rhdeng 743 details;2016-08-13T02:03:09.000-0400;Major;1.0;1;0;4
JBDS;JBDS-3997;upgrade vagrant 1 8 1 compatible virtual box 5 0 26 originally wanted use virtualbox 5 1 x vagrant 1 8 1 recognize virtualbox 5 1 x downloads 5 0 10 vagrant reason change 5 0 26 works fine recommended vagrant;2016-08-11T19:06:36.000-0400;Major;1.0;1;0;4
