ProjectName;Key;title_desc;Created;Priority;Storypoint;P;S;R
JBIDE;JBIDE-22816;create application image builder may lead update detected creating new application image builder update may detected resources created pb model set openshift project asynchronously updated get list projects set openshift project first thus misleading rest processing;2016-07-26T09:13:06.000-0400;Major;0.0;1;0;4
JBIDE;JBIDE-26100;base compile jdk9 10 base compile jdk9 10 import jdk internal dynalink support runtimecontextlinkrequestimpl found;2018-06-15T09:02:45.000-0400;Major;0.0;1;0;4
JBIDE;JBIDE-27069;jpa version 2 2 cannot set rh crs creating new dynamic web project jpa version 2 2 cannot set rh crs creating new dynamic web project highest offered version 2 1;2020-02-21T08:17:59.000-0500;Major;0.0;1;0;4
JBIDE;JBIDE-18355;unexpected chars freemarker editor strange characters occurs editing ftl file check screencast;2014-09-16T11:20:23.000-0400;Minor;0.0;0;0;7
JBIDE;JBIDE-8526;freemarker content assist doesnt work inside tag tag attribute freemarker 1 1 0 v20110303 1225 h55 alpha1 eclipse platform version 3 6 2 r362_v20110210 9gf78gs1frignhdhwkecopon8amxezflgdgkqibuild id m20110210 1200this code trigger content assist pressing ctrl+space context named data property somevaluetag attribute data somevalue code removed opening tag bracket tag attribute data somevalue;2011-03-05T02:26:22.000-0500;Major;1.0;1;0;4
JBIDE;JBIDE-27377;unknown category com jboss devstudio discovery certification deprecated referenced connector com android ide eclipse adt code eclipse buildid4 16 0 i20200604 0540java version11 0 7java vendororacle corporationbootloader constants oslinux archx86_64 wsgtk nlen_usframework arguments product org eclipse epp package jee productcommand line arguments data file home odockal eclipse workspace os linux ws gtk arch x86_64 product org eclipse epp package jee productorg eclipse mylyn discovery coreerrortue jul 14 105803 cest 2020unknown category com jboss devstudio discovery certification deprecated referenced connector com android ide eclipse adt declared org jboss tools central discovery_4 16 0 final_v20200713_0831_b8533 jar_7394977179059456426 jar code;2020-07-14T05:08:20.000-0400;Major;1.0;1;0;4
JBIDE;JBIDE-27373;openshift application explorer show cluster node openshift application explorer start due following error codejava eclipse buildidunknowneclipse buildidunknownjava version1 8 0_232java vendororacle corporationbootloader constants oslinux archx86_64 wsgtk nlfr_frframework arguments application org eclipse ui ide workbench plugincustomization home sbouchet bureau eclipse inicommand line arguments application org eclipse ui ide workbench data home sbouchet eclipse ws jbosstools runtime eclipseapplication dev file home sbouchet eclipse ws jbosstools metadata plugins org eclipse pde core runtime dev properties os linux ws gtk arch x86_64 consolelog plugincustomization home sbouchet bureau eclipse iniorg eclipse ui navigatorerrorfri jul 10 151822 cest 2020problems occurred invoking code plug org eclipse ui navigator org eclipse core runtime coreexception plug org jboss tools openshift ui unable instantiate class org jboss tools openshift internal ui applicationexplorer openshiftapplicationexplorercontentprovider org eclipse core internal registry osgi registrystrategyosgi throwexception registrystrategyosgi java212 org eclipse core internal registry osgi registrystrategyosgi createexecutableextension registrystrategyosgi java206 org eclipse core internal registry extensionregistry createexecutableextension extensionregistry java923 org eclipse core internal registry configurationelement createexecutableextension configurationelement java246 org eclipse core internal registry configurationelementhandle createexecutableextension configurationelementhandle java63 org eclipse ui internal navigator extensions navigatorcontentdescriptor createcontentprovider navigatorcontentdescriptor java370 org eclipse ui internal navigator extensions navigatorcontentextension1 run navigatorcontentextension java114 org eclipse core runtime saferunner run saferunner java45 org eclipse ui internal navigator extensions navigatorcontentextension internalgetcontentprovider navigatorcontentextension java109 org eclipse ui internal navigator navigatorcontentservice extractcontentproviders navigatorcontentservice java1110 org eclipse ui internal navigator navigatorcontentservice updateservice navigatorcontentservice java360 org eclipse ui internal navigator navigatorcontentservicecontentprovider inputchanged navigatorcontentservicecontentprovider java113 org eclipse jface viewers contentviewer setinput contentviewer java278 org eclipse jface viewers structuredviewer setinput structuredviewer java1634 org eclipse ui navigator commonnavigator createpartcontrol commonnavigator java205 org eclipse ui internal e4 compatibility compatibilitypart createpartcontrol compatibilitypart java154 org eclipse ui internal e4 compatibility compatibilityview createpartcontrol compatibilityview java155 org eclipse ui internal e4 compatibility compatibilitypart create compatibilitypart java361 sun reflect nativemethodaccessorimpl invoke0 native method sun reflect nativemethodaccessorimpl invoke nativemethodaccessorimpl java62 sun reflect delegatingmethodaccessorimpl invoke delegatingmethodaccessorimpl java43 java lang reflect method invoke method java498 org eclipse e4 core internal di methodrequestor execute methodrequestor java58 org eclipse e4 core internal di injectorimpl processannotated injectorimpl java999 org eclipse e4 core internal di injectorimpl processannotated injectorimpl java964 org eclipse e4 core internal di injectorimpl internalinject injectorimpl java140 org eclipse e4 core internal di injectorimpl internalmake injectorimpl java405 org eclipse e4 core internal di injectorimpl make injectorimpl java332 org eclipse e4 core contexts contextinjectionfactory make contextinjectionfactory java202 org eclipse e4 ui internal workbench reflectioncontributionfactory createfrombundle reflectioncontributionfactory java91 org eclipse e4 ui internal workbench reflectioncontributionfactory docreate reflectioncontributionfactory java60 org eclipse e4 ui internal workbench reflectioncontributionfactory create reflectioncontributionfactory java42 org eclipse e4 ui workbench renderers swt contributedpartrenderer createwidget contributedpartrenderer java132 org eclipse e4 ui internal workbench swt partrenderingengine createwidget partrenderingengine java1000 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java660 org eclipse e4 ui internal workbench swt partrenderingengine1 run partrenderingengine java545 org eclipse core runtime saferunner run saferunner java45 org eclipse e4 ui internal workbench swt partrenderingengine creategui partrenderingengine java529 org eclipse e4 ui workbench renderers swt elementreferencerenderer createwidget elementreferencerenderer java73 org eclipse e4 ui internal workbench swt partrenderingengine createwidget partrenderingengine java1000 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java660 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java766 org eclipse e4 ui internal workbench swt partrenderingengine access0 partrenderingengine java737 org eclipse e4 ui internal workbench swt partrenderingengine2 run partrenderingengine java731 org eclipse core runtime saferunner run saferunner java45 org eclipse e4 ui internal workbench swt partrenderingengine creategui partrenderingengine java715 org eclipse e4 ui workbench renderers swt stackrenderer showtab stackrenderer java1294 org eclipse e4 ui workbench renderers swt lazystackrenderer postprocess lazystackrenderer java105 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java678 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java766 org eclipse e4 ui internal workbench swt partrenderingengine access0 partrenderingengine java737 org eclipse e4 ui internal workbench swt partrenderingengine2 run partrenderingengine java731 org eclipse core runtime saferunner run saferunner java45 org eclipse e4 ui internal workbench swt partrenderingengine creategui partrenderingengine java715 org eclipse e4 ui workbench renderers swt swtpartrenderer processcontents swtpartrenderer java71 org eclipse e4 ui workbench renderers swt sashrenderer processcontents sashrenderer java148 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java674 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java766 org eclipse e4 ui internal workbench swt partrenderingengine access0 partrenderingengine java737 org eclipse e4 ui internal workbench swt partrenderingengine2 run partrenderingengine java731 org eclipse core runtime saferunner run saferunner java45 org eclipse e4 ui internal workbench swt partrenderingengine creategui partrenderingengine java715 org eclipse e4 ui workbench renderers swt swtpartrenderer processcontents swtpartrenderer java71 org eclipse e4 ui workbench renderers swt sashrenderer processcontents sashrenderer java148 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java674 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java766 org eclipse e4 ui internal workbench swt partrenderingengine access0 partrenderingengine java737 org eclipse e4 ui internal workbench swt partrenderingengine2 run partrenderingengine java731 org eclipse core runtime saferunner run saferunner java45 org eclipse e4 ui internal workbench swt partrenderingengine creategui partrenderingengine java715 org eclipse e4 ui workbench renderers swt swtpartrenderer processcontents swtpartrenderer java71 org eclipse e4 ui workbench renderers swt perspectiverenderer processcontents perspectiverenderer java51 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java674 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java766 org eclipse e4 ui internal workbench swt partrenderingengine access0 partrenderingengine java737 org eclipse e4 ui internal workbench swt partrenderingengine2 run partrenderingengine java731 org eclipse core runtime saferunner run saferunner java45 org eclipse e4 ui internal workbench swt partrenderingengine creategui partrenderingengine java715 org eclipse e4 ui workbench renderers swt perspectivestackrenderer showtab perspectivestackrenderer java82 org eclipse e4 ui workbench renderers swt lazystackrenderer postprocess lazystackrenderer java105 org eclipse e4 ui workbench renderers swt perspectivestackrenderer postprocess perspectivestackrenderer java64 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java678 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java766 org eclipse e4 ui internal workbench swt partrenderingengine access0 partrenderingengine java737 org eclipse e4 ui internal workbench swt partrenderingengine2 run partrenderingengine java731 org eclipse core runtime saferunner run saferunner java45 org eclipse e4 ui internal workbench swt partrenderingengine creategui partrenderingengine java715 org eclipse e4 ui workbench renderers swt swtpartrenderer processcontents swtpartrenderer java71 org eclipse e4 ui workbench renderers swt sashrenderer processcontents sashrenderer java148 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java674 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java766 org eclipse e4 ui internal workbench swt partrenderingengine access0 partrenderingengine java737 org eclipse e4 ui internal workbench swt partrenderingengine2 run partrenderingengine java731 org eclipse core runtime saferunner run saferunner java45 org eclipse e4 ui internal workbench swt partrenderingengine creategui partrenderingengine java715 org eclipse e4 ui workbench renderers swt swtpartrenderer processcontents swtpartrenderer java71 org eclipse e4 ui workbench renderers swt wbwrenderer processcontents wbwrenderer java666 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java674 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java766 org eclipse e4 ui internal workbench swt partrenderingengine access0 partrenderingengine java737 org eclipse e4 ui internal workbench swt partrenderingengine2 run partrenderingengine java731 org eclipse core runtime saferunner run saferunner java45 org eclipse e4 ui internal workbench swt partrenderingengine creategui partrenderingengine java715 org eclipse e4 ui internal workbench swt partrenderingengine5 run partrenderingengine java1084 org eclipse core databinding observable realm runwithdefault realm java338 org eclipse e4 ui internal workbench swt partrenderingengine run partrenderingengine java1047 org eclipse e4 ui internal workbench e4workbench createandrunui e4workbench java155 org eclipse ui internal workbench lambda3 workbench java658 org eclipse core databinding observable realm runwithdefault realm java338 org eclipse ui internal workbench createandrunworkbench workbench java557 org eclipse ui platformui createandrunworkbench platformui java154 org eclipse ui internal ide application ideapplication start ideapplication java150 org eclipse equinox internal app eclipseapphandle run eclipseapphandle java203 org eclipse core runtime internal adaptor eclipseapplauncher runapplication eclipseapplauncher java137 org eclipse core runtime internal adaptor eclipseapplauncher start eclipseapplauncher java107 org eclipse core runtime adaptor eclipsestarter run eclipsestarter java401 org eclipse core runtime adaptor eclipsestarter run eclipsestarter java255 sun reflect nativemethodaccessorimpl invoke0 native method sun reflect nativemethodaccessorimpl invoke nativemethodaccessorimpl java62 sun reflect delegatingmethodaccessorimpl invoke delegatingmethodaccessorimpl java43 java lang reflect method invoke method java498 org eclipse equinox launcher main invokeframework main java657 org eclipse equinox launcher main basicrun main java594 org eclipse equinox launcher main run main java1447 org eclipse equinox launcher main main main java1420 caused java lang reflect invocationtargetexception sun reflect nativeconstructoraccessorimpl newinstance0 native method sun reflect nativeconstructoraccessorimpl newinstance nativeconstructoraccessorimpl java62 sun reflect delegatingconstructoraccessorimpl newinstance delegatingconstructoraccessorimpl java45 java lang reflect constructor newinstance constructor java423 org eclipse core internal registry osgi registrystrategyosgi createexecutableextension registrystrategyosgi java204 123 morecaused java lang noclassdeffounderror com fasterxml jackson datatype jsr310 javatimemodule io fabric8 kubernetes client internal kubeconfigutils parseconfigfromstring kubeconfigutils java44 io fabric8 kubernetes client config loadfromkubeconfig config java505 io fabric8 kubernetes client config trykubeconfig config java491 io fabric8 kubernetes client config autoconfigure config java230 io fabric8 kubernetes client config init config java214 io fabric8 kubernetes client configbuilder init configbuilder java16 io fabric8 kubernetes client configbuilder init configbuilder java13 org jboss tools openshift internal ui models applicationexplorer applicationexploreruimodelclusterinfo loadclient applicationexploreruimodel java79 org jboss tools openshift internal ui models applicationexplorer applicationexploreruimodelclusterinfo init applicationexploreruimodel java65 org jboss tools openshift internal ui models applicationexplorer applicationexploreruimodel init applicationexploreruimodel java129 org jboss tools openshift internal ui models applicationexplorer applicationexploreruimodel getinstance applicationexploreruimodel java59 org jboss tools openshift internal ui applicationexplorer openshiftapplicationexplorercontentprovider init openshiftapplicationexplorercontentprovider java44 128 morecaused java lang classnotfoundexception com fasterxml jackson datatype jsr310 javatimemodule cannot found org jboss tools openshift client_3 11 0 qualifier org eclipse osgi internal loader bundleloader findclass bundleloader java516 org eclipse osgi internal loader moduleclassloader loadclass moduleclassloader java171 java lang classloader loadclass classloader java351 140 code;2020-07-10T09:55:25.000-0400;Blocker;1.0;2;0;1
JBIDE;JBIDE-27367;open console dashboard shows page error issue discussed https github com redhat developer intellij openshift connector issues 119;2020-07-08T05:36:10.000-0400;Minor;1.0;0;0;7
JBIDE;JBIDE-27361;openshift application explorer crashes focus trying open openshift application explorer view nothing shown stack produced codejava eclipse buildid12 16 0 ga v20200706 1011 b6602java version1 8 0_232java vendororacle corporationbootloader constants oslinux archx86_64 wsgtk nlfr_frframework arguments application org eclipse ui ide workbench product com jboss devstudio core productcommand line arguments os linux ws gtk arch x86_64 application org eclipse ui ide workbench product com jboss devstudio core productorg eclipse ui navigatorerrortue jul 07 100545 cest 2020plug org jboss tools openshift ui unable instantiate class org jboss tools openshift internal ui applicationexplorer openshiftapplicationexplorercontentprovider org eclipse core runtime coreexception plug org jboss tools openshift ui unable instantiate class org jboss tools openshift internal ui applicationexplorer openshiftapplicationexplorercontentprovider org eclipse core internal registry osgi registrystrategyosgi throwexception registrystrategyosgi java212 org eclipse core internal registry osgi registrystrategyosgi createexecutableextension registrystrategyosgi java206 org eclipse core internal registry extensionregistry createexecutableextension extensionregistry java923 org eclipse core internal registry configurationelement createexecutableextension configurationelement java246 org eclipse core internal registry configurationelementhandle createexecutableextension configurationelementhandle java63 org eclipse ui internal navigator extensions navigatorcontentdescriptor createcontentprovider navigatorcontentdescriptor java370 org eclipse ui internal navigator extensions navigatorcontentextension1 run navigatorcontentextension java114 org eclipse core runtime saferunner run saferunner java45 org eclipse ui internal navigator extensions navigatorcontentextension internalgetcontentprovider navigatorcontentextension java109 org eclipse ui internal navigator navigatorcontentservice extractcontentproviders navigatorcontentservice java1110 org eclipse ui internal navigator navigatorcontentservice updateservice navigatorcontentservice java360 org eclipse ui internal navigator navigatorcontentservicecontentprovider inputchanged navigatorcontentservicecontentprovider java113 org eclipse jface viewers contentviewer setinput contentviewer java278 org eclipse jface viewers structuredviewer setinput structuredviewer java1634 org eclipse ui navigator commonnavigator createpartcontrol commonnavigator java205 org eclipse ui internal e4 compatibility compatibilitypart createpartcontrol compatibilitypart java154 org eclipse ui internal e4 compatibility compatibilityview createpartcontrol compatibilityview java155 org eclipse ui internal e4 compatibility compatibilitypart create compatibilitypart java361 sun reflect nativemethodaccessorimpl invoke0 native method sun reflect nativemethodaccessorimpl invoke nativemethodaccessorimpl java62 sun reflect delegatingmethodaccessorimpl invoke delegatingmethodaccessorimpl java43 java lang reflect method invoke method java498 org eclipse e4 core internal di methodrequestor execute methodrequestor java58 org eclipse e4 core internal di injectorimpl processannotated injectorimpl java999 org eclipse e4 core internal di injectorimpl processannotated injectorimpl java964 org eclipse e4 core internal di injectorimpl internalinject injectorimpl java140 org eclipse e4 core internal di injectorimpl internalmake injectorimpl java405 org eclipse e4 core internal di injectorimpl make injectorimpl java332 org eclipse e4 core contexts contextinjectionfactory make contextinjectionfactory java202 org eclipse e4 ui internal workbench reflectioncontributionfactory createfrombundle reflectioncontributionfactory java91 org eclipse e4 ui internal workbench reflectioncontributionfactory docreate reflectioncontributionfactory java60 org eclipse e4 ui internal workbench reflectioncontributionfactory create reflectioncontributionfactory java42 org eclipse e4 ui workbench renderers swt contributedpartrenderer createwidget contributedpartrenderer java132 org eclipse e4 ui internal workbench swt partrenderingengine createwidget partrenderingengine java1000 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java660 org eclipse e4 ui internal workbench swt partrenderingengine1 run partrenderingengine java545 org eclipse core runtime saferunner run saferunner java45 org eclipse e4 ui internal workbench swt partrenderingengine creategui partrenderingengine java529 org eclipse e4 ui workbench renderers swt elementreferencerenderer createwidget elementreferencerenderer java73 org eclipse e4 ui internal workbench swt partrenderingengine createwidget partrenderingengine java1000 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java660 org eclipse e4 ui internal workbench swt partrenderingengine safecreategui partrenderingengine java766 org eclipse e4 ui internal workbench swt partrenderingengine access0 partrenderingengine java737 org eclipse e4 ui internal workbench swt partrenderingengine2 run partrenderingengine java731 org eclipse core runtime saferunner run saferunner java45 org eclipse e4 ui internal workbench swt partrenderingengine creategui partrenderingengine java715 org eclipse e4 ui workbench renderers swt stackrenderer showtab stackrenderer java1294 org eclipse e4 ui workbench renderers swt lazystackrenderer lambda0 lazystackrenderer java75 org eclipse e4 ui services internal events uieventhandler lambda0 uieventhandler java38 org eclipse swt widgets synchronizer syncexec synchronizer java236 org eclipse ui internal uisynchronizer syncexec uisynchronizer java133 org eclipse swt widgets display syncexec display java5795 org eclipse e4 ui internal workbench swt e4application1 syncexec e4application java219 org eclipse e4 ui services internal events uieventhandler handleevent uieventhandler java38 org eclipse equinox internal event eventhandlerwrapper handleevent eventhandlerwrapper java205 org eclipse equinox internal event eventhandlertracker dispatchevent eventhandlertracker java203 org eclipse equinox internal event eventhandlertracker dispatchevent eventhandlertracker java1 org eclipse osgi framework eventmgr eventmanager dispatchevent eventmanager java234 org eclipse osgi framework eventmgr listenerqueue dispatcheventsynchronous listenerqueue java151 org eclipse equinox internal event eventadminimpl dispatchevent eventadminimpl java132 org eclipse equinox internal event eventadminimpl sendevent eventadminimpl java75 org eclipse equinox internal event eventcomponent sendevent eventcomponent java44 org eclipse e4 ui services internal events eventbroker send eventbroker java55 org eclipse e4 ui internal workbench uieventpublisher notifychanged uieventpublisher java63 org eclipse emf common notify impl basicnotifierimpl enotify basicnotifierimpl java424 org eclipse e4 ui model application ui impl elementcontainerimpl setselectedelementgen elementcontainerimpl java170 org eclipse e4 ui model application ui impl elementcontainerimpl setselectedelement elementcontainerimpl java188 org eclipse e4 ui workbench renderers swt stackrenderer lambda3 stackrenderer java1060 org eclipse swt events selectionlistener1 widgetselected selectionlistener java84 org eclipse swt widgets typedlistener handleevent typedlistener java252 org eclipse swt widgets eventtable sendevent eventtable java89 org eclipse swt widgets display sendevent display java5685 org eclipse swt widgets widget sendevent widget java1423 org eclipse swt widgets widget sendevent widget java1449 org eclipse swt widgets widget sendevent widget java1432 org eclipse swt widgets widget notifylisteners widget java1221 org eclipse swt custom ctabfolder setselection ctabfolder java3241 org eclipse swt custom ctabfolder onmouse ctabfolder java1879 org eclipse swt custom ctabfolder lambda0 ctabfolder java330 org eclipse swt widgets eventtable sendevent eventtable java89 org eclipse swt widgets display sendevent display java5685 org eclipse swt widgets widget sendevent widget java1423 org eclipse swt widgets display rundeferredevents display java4953 org eclipse swt widgets display readanddispatch display java4446 org eclipse e4 ui internal workbench swt partrenderingengine5 run partrenderingengine java1158 org eclipse core databinding observable realm runwithdefault realm java338 org eclipse e4 ui internal workbench swt partrenderingengine run partrenderingengine java1047 org eclipse e4 ui internal workbench e4workbench createandrunui e4workbench java155 org eclipse ui internal workbench lambda3 workbench java658 org eclipse core databinding observable realm runwithdefault realm java338 org eclipse ui internal workbench createandrunworkbench workbench java557 org eclipse ui platformui createandrunworkbench platformui java154 org eclipse ui internal ide application ideapplication start ideapplication java150 org eclipse equinox internal app eclipseapphandle run eclipseapphandle java203 org eclipse core runtime internal adaptor eclipseapplauncher runapplication eclipseapplauncher java137 org eclipse core runtime internal adaptor eclipseapplauncher start eclipseapplauncher java107 org eclipse core runtime adaptor eclipsestarter run eclipsestarter java401 org eclipse core runtime adaptor eclipsestarter run eclipsestarter java255 sun reflect nativemethodaccessorimpl invoke0 native method sun reflect nativemethodaccessorimpl invoke nativemethodaccessorimpl java62 sun reflect delegatingmethodaccessorimpl invoke delegatingmethodaccessorimpl java43 java lang reflect method invoke method java498 org eclipse equinox launcher main invokeframework main java657 org eclipse equinox launcher main basicrun main java594 org eclipse equinox launcher main run main java1447 org eclipse equinox launcher main main main java1420 caused java lang reflect invocationtargetexception sun reflect nativeconstructoraccessorimpl newinstance0 native method sun reflect nativeconstructoraccessorimpl newinstance nativeconstructoraccessorimpl java62 sun reflect delegatingconstructoraccessorimpl newinstance delegatingconstructoraccessorimpl java45 java lang reflect constructor newinstance constructor java423 org eclipse core internal registry osgi registrystrategyosgi createexecutableextension registrystrategyosgi java204 104 morecaused java lang noclassdeffounderror com fasterxml jackson core jsonprocessingexception io fabric8 kubernetes client config trykubeconfig config java483 io fabric8 kubernetes client config autoconfigure config java224 io fabric8 kubernetes client config init config java208 io fabric8 kubernetes client configbuilder init configbuilder java16 io fabric8 kubernetes client configbuilder init configbuilder java13 org jboss tools openshift internal ui models applicationexplorer applicationexploreruimodelclusterinfo loadclient applicationexploreruimodel java79 org jboss tools openshift internal ui models applicationexplorer applicationexploreruimodelclusterinfo init applicationexploreruimodel java65 org jboss tools openshift internal ui models applicationexplorer applicationexploreruimodel init applicationexploreruimodel java129 org jboss tools openshift internal ui models applicationexplorer applicationexploreruimodel getinstance applicationexploreruimodel java59 org jboss tools openshift internal ui applicationexplorer openshiftapplicationexplorercontentprovider init openshiftapplicationexplorercontentprovider java44 109 morecaused java lang classnotfoundexception com fasterxml jackson core jsonprocessingexception cannot found org jboss tools openshift client_3 11 0 final v20200703 1427 b5862 org eclipse osgi internal loader bundleloader findclass bundleloader java516 org eclipse osgi internal loader moduleclassloader loadclass moduleclassloader java171 java lang classloader loadclass classloader java351 119 code;2020-07-07T04:17:26.000-0400;Major;1.0;1;0;4
JBIDE;JBIDE-27358;method org eclipse core runtime platform#getjobmanager used jbosstools base common planned removed method getjobmanager planned beremoved class org eclipse core runtime platform clients encouraged use method org eclipse core runtime jobs job#getjobmanager instead 1 future releases affected class used jbosstools base common model package 2 1 https bugs eclipse org bugs show_bug cgiid528191 2 https github com jbosstools jbosstools base blob 3adb3a1dd7060670d39c8c818e9d53331ef13f95 common plugins org jboss tools common model src org jboss tools common model xjob java#l70;2020-07-06T10:43:58.000-0400;Major;1.0;1;0;4
