ProjectName;Key;title_desc;Created;Priority;Storypoint;P;S;R
KEYCLOAK;KEYCLOAK-9645;add translations new account console many new human readable messages account console translated languages;2019-02-22T15:22:38.000-0500;Major;0.0;1;0;4
KEYCLOAK;KEYCLOAK-8151;add ids left vertical navigation bar better testability depends keycloak 9644;2018-08-27T10:40:32.000-0400;Major;0.0;1;0;4
KEYCLOAK;KEYCLOAK-8084;add logout button welcome page logout option welcome page;2018-08-20T04:20:34.000-0400;Major;0.0;1;0;4
KEYCLOAK;KEYCLOAK-12482;keycloak node js adapter example realm file cannot imported since keycloak 7 0 1 disable script upload realm provided keycloak node js adapter example nodejs example realm json cannot imported anymore codejava 135414 515 error org keycloak services error keycloakerrorhandler default task 6 uncaught server error java lang runtimeexception script upload disabledat org keycloak keycloak authz policy common 8 0 1 org keycloak authorization policy provider js jspolicyproviderfactory updatepolicy jspolicyproviderfactory java125 org keycloak keycloak authz policy common 8 0 1 org keycloak authorization policy provider js jspolicyproviderfactory onimport jspolicyproviderfactory java70 org keycloak keycloak server spi private 8 0 1 org keycloak models utils representationtomodel tomodel representationtomodel java2306 org keycloak keycloak server spi private 8 0 1 org keycloak authorization authorizationprovider3 create authorizationprovider java351 org keycloak keycloak server spi private 8 0 1 org keycloak models utils representationtomodel importpolicies representationtomodel java2232 org keycloak keycloak server spi private 8 0 1 org keycloak models utils representationtomodel tomodel representationtomodel java2180 org keycloak keycloak server spi private 8 0 1 org keycloak models utils representationtomodel importauthorizationsettings representationtomodel java2127 org keycloak keycloak server spi private 8 0 1 org keycloak models utils representationtomodel lambdaimportrealmauthorizationsettings0 representationtomodel java2105 java base java util arraylist foreach arraylist java1540 org keycloak keycloak server spi private 8 0 1 org keycloak models utils representationtomodel importrealmauthorizationsettings representationtomodel java2103 org keycloak keycloak server spi private 8 0 1 org keycloak models utils representationtomodel importrealm representationtomodel java456 org keycloak keycloak services 8 0 1 org keycloak services managers realmmanager importrealm realmmanager java506 org keycloak keycloak services 8 0 1 org keycloak services managers realmmanager importrealm realmmanager java451 org keycloak keycloak services 8 0 1 org keycloak services resources admin realmsadminresource importrealm realmsadminresource java139 java base jdk internal reflect nativemethodaccessorimpl invoke0 native method java base jdk internal reflect nativemethodaccessorimpl invoke nativemethodaccessorimpl java62 java base jdk internal reflect delegatingmethodaccessorimpl invoke delegatingmethodaccessorimpl java43 java base java lang reflect method invoke method java566 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core methodinjectorimpl invoke methodinjectorimpl java138 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core resourcemethodinvoker internalinvokeontarget resourcemethodinvoker java517 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core resourcemethodinvoker invokeontargetafterfilter resourcemethodinvoker java406 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core resourcemethodinvoker lambdainvokeontarget0 resourcemethodinvoker java370 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core interception prematchcontainerrequestcontext filter prematchcontainerrequestcontext java356 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core resourcemethodinvoker invokeontarget resourcemethodinvoker java372 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core resourcemethodinvoker invoke resourcemethodinvoker java344 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core resourcelocatorinvoker invokeontargetobject resourcelocatorinvoker java137 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core resourcelocatorinvoker invoke resourcelocatorinvoker java100 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core synchronousdispatcher invoke synchronousdispatcher java440 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core synchronousdispatcher lambdainvoke4 synchronousdispatcher java229 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core synchronousdispatcher lambdapreprocess0 synchronousdispatcher java135 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core interception prematchcontainerrequestcontext filter prematchcontainerrequestcontext java356 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core synchronousdispatcher preprocess synchronousdispatcher java138 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy core synchronousdispatcher invoke synchronousdispatcher java215 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy plugins server servlet servletcontainerdispatcher service servletcontainerdispatcher java227 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy plugins server servlet httpservletdispatcher service httpservletdispatcher java56 org jboss resteasy resteasy jaxrs 3 9 1 final org jboss resteasy plugins server servlet httpservletdispatcher service httpservletdispatcher java51 javax servlet api 2 0 0 final javax servlet http httpservlet service httpservlet java590 io undertow servlet 2 0 27 final io undertow servlet handlers servlethandler handlerequest servlethandler java74 io undertow servlet 2 0 27 final io undertow servlet handlers filterhandlerfilterchainimpl dofilter filterhandler java129 org keycloak keycloak services 8 0 1 org keycloak services filters keycloaksessionservletfilter dofilter keycloaksessionservletfilter java91 io undertow servlet 2 0 27 final io undertow servlet core managedfilter dofilter managedfilter java61 io undertow servlet 2 0 27 final io undertow servlet handlers filterhandlerfilterchainimpl dofilter filterhandler java131 io undertow servlet 2 0 27 final io undertow servlet handlers filterhandler handlerequest filterhandler java84 io undertow servlet 2 0 27 final io undertow servlet handlers security servletsecurityrolehandler handlerequest servletsecurityrolehandler java62 io undertow servlet 2 0 27 final io undertow servlet handlers servletchain1 handlerequest servletchain java68 io undertow servlet 2 0 27 final io undertow servlet handlers servletdispatchinghandler handlerequest servletdispatchinghandler java36 org wildfly extension undertow 18 0 1 final org wildfly extension undertow security securitycontextassociationhandler handlerequest securitycontextassociationhandler java78 io undertow core 2 0 27 final io undertow server handlers predicatehandler handlerequest predicatehandler java43 io undertow servlet 2 0 27 final io undertow servlet handlers redirectdirhandler handlerequest redirectdirhandler java68 io undertow servlet 2 0 27 final io undertow servlet handlers security sslinformationassociationhandler handlerequest sslinformationassociationhandler java132 io undertow servlet 2 0 27 final io undertow servlet handlers security servletauthenticationcallhandler handlerequest servletauthenticationcallhandler java57 io undertow core 2 0 27 final io undertow server handlers predicatehandler handlerequest predicatehandler java43 io undertow core 2 0 27 final io undertow security handlers abstractconfidentialityhandler handlerequest abstractconfidentialityhandler java46 io undertow servlet 2 0 27 final io undertow servlet handlers security servletconfidentialityconstrainthandler handlerequest servletconfidentialityconstrainthandler java64 io undertow core 2 0 27 final io undertow security handlers authenticationmechanismshandler handlerequest authenticationmechanismshandler java60 io undertow servlet 2 0 27 final io undertow servlet handlers security cachedauthenticatedsessionhandler handlerequest cachedauthenticatedsessionhandler java77 io undertow core 2 0 27 final io undertow security handlers notificationreceiverhandler handlerequest notificationreceiverhandler java50 io undertow core 2 0 27 final io undertow security handlers abstractsecuritycontextassociationhandler handlerequest abstractsecuritycontextassociationhandler java43 io undertow core 2 0 27 final io undertow server handlers predicatehandler handlerequest predicatehandler java43 org wildfly extension undertow 18 0 1 final org wildfly extension undertow security jacc jacccontextidhandler handlerequest jacccontextidhandler java61 io undertow core 2 0 27 final io undertow server handlers predicatehandler handlerequest predicatehandler java43 org wildfly extension undertow 18 0 1 final org wildfly extension undertow deployment globalrequestcontrollerhandler handlerequest globalrequestcontrollerhandler java68 io undertow core 2 0 27 final io undertow server handlers predicatehandler handlerequest predicatehandler java43 io undertow servlet 2 0 27 final io undertow servlet handlers servletinitialhandler handlefirstrequest servletinitialhandler java269 io undertow servlet 2 0 27 final io undertow servlet handlers servletinitialhandler access100 servletinitialhandler java78 io undertow servlet 2 0 27 final io undertow servlet handlers servletinitialhandler2 call servletinitialhandler java133 io undertow servlet 2 0 27 final io undertow servlet handlers servletinitialhandler2 call servletinitialhandler java130 io undertow servlet 2 0 27 final io undertow servlet core servletrequestcontextthreadsetupaction1 call servletrequestcontextthreadsetupaction java48 io undertow servlet 2 0 27 final io undertow servlet core contextclassloadersetupaction1 call contextclassloadersetupaction java43 org wildfly extension undertow 18 0 1 final org wildfly extension undertow security securitycontextthreadsetupaction lambdacreate0 securitycontextthreadsetupaction java105 org wildfly extension undertow 18 0 1 final org wildfly extension undertow deployment undertowdeploymentinfoserviceundertowthreadsetupaction lambdacreate0 undertowdeploymentinfoservice java1504 org wildfly extension undertow 18 0 1 final org wildfly extension undertow deployment undertowdeploymentinfoserviceundertowthreadsetupaction lambdacreate0 undertowdeploymentinfoservice java1504 org wildfly extension undertow 18 0 1 final org wildfly extension undertow deployment undertowdeploymentinfoserviceundertowthreadsetupaction lambdacreate0 undertowdeploymentinfoservice java1504 org wildfly extension undertow 18 0 1 final org wildfly extension undertow deployment undertowdeploymentinfoserviceundertowthreadsetupaction lambdacreate0 undertowdeploymentinfoservice java1504 io undertow servlet 2 0 27 final io undertow servlet handlers servletinitialhandler dispatchrequest servletinitialhandler java249 io undertow servlet 2 0 27 final io undertow servlet handlers servletinitialhandler access000 servletinitialhandler java78 io undertow servlet 2 0 27 final io undertow servlet handlers servletinitialhandler1 handlerequest servletinitialhandler java99 io undertow core 2 0 27 final io undertow server connectors executeroothandler connectors java376 io undertow core 2 0 27 final io undertow server httpserverexchange1 run httpserverexchange java830 org jboss threads 2 3 3 final org jboss threads contextclassloadersavingrunnable run contextclassloadersavingrunnable java35 org jboss threads 2 3 3 final org jboss threads enhancedqueueexecutor saferun enhancedqueueexecutor java1982 org jboss threads 2 3 3 final org jboss threads enhancedqueueexecutorthreadbody doruntask enhancedqueueexecutor java1486 org jboss threads 2 3 3 final org jboss threads enhancedqueueexecutorthreadbody run enhancedqueueexecutor java1377 java base java lang thread run thread java834 code;2019-12-16T09:13:55.000-0500;Minor;0.0;0;0;7
KEYCLOAK;KEYCLOAK-11978;integration tests failing node js adapter h2 integration tests node js adapter failing due chromedriver need upgrade dependencies order make build pass h2 expected results builds green travish2 actual results integration tests failing travis pull requests submitted https travis ci org keycloak keycloak nodejs connect;2019-11-08T07:27:33.000-0500;Blocker;0.0;2;0;1
KEYCLOAK;KEYCLOAK-11611;broken tests cookies gatekeeper h2 expected resultsall tests passingh2 actual results noformat run testsamesitecookie fail testsamesitecookie 0 00s cookies_test go176 error tracecookies_test go176 error equal expected test cookietest value path actual test cookietest value path domain127 0 0 1 diff expected +++ actual 1 +1 test cookietest value path +test cookietest value path domain127 0 0 1 test testsamesitecookie messages set cookie headers map set cookie test cookietest value path cookies_test go185 error tracecookies_test go185 error equal expected test cookietest value path samesitestrict actual test cookietest value path domain127 0 0 1 samesitestrict diff expected +++ actual 1 +1 test cookietest value path samesitestrict +test cookietest value path domain127 0 0 1 samesitestrict test testsamesitecookie messages set cookie headers map set cookie test cookietest value path samesitestrict cookies_test go194 error tracecookies_test go194 error equal expected test cookietest value path samesitelax actual test cookietest value path domain127 0 0 1 samesitelax diff expected +++ actual 1 +1 test cookietest value path samesitelax +test cookietest value path domain127 0 0 1 samesitelax test testsamesitecookie messages set cookie headers map set cookie test cookietest value path samesitelax cookies_test go203 error tracecookies_test go203 error equal expected test cookietest value path actual test cookietest value path domain127 0 0 1 diff expected +++ actual 1 +1 test cookietest value path +test cookietest value path domain127 0 0 1 test testsamesitecookie messages set cookie headers map set cookie test cookietest value path noformat;2019-10-02T05:58:06.000-0400;Major;0.0;1;0;4
KEYCLOAK;KEYCLOAK-11158;upgrade dependencies new admin console upgrade outdated dependencies like lodash admin console;2019-08-20T05:03:31.000-0400;Major;0.0;1;0;4
KEYCLOAK;KEYCLOAK-10998;disable cache travis node js adapter since july 2019 npm cached default travis ci disable seems good idea side effects caching like hiding errors;2019-08-05T07:36:04.000-0400;Major;0.0;1;0;4
KEYCLOAK;KEYCLOAK-10080;typo contributing md document gatekeeper file https github com keycloak keycloak gatekeeper blob master contributing md stateskeycloak gatekeeper open source adapter solution protect non java modern applications servicesbut correct bekeycloak gatekeeper open source adapter solution protect non java modern applications services;2019-04-16T22:24:09.000-0400;Trivial;0.0;0;0;7
KEYCLOAK;KEYCLOAK-5174;url properties missing keycloak nodejs auth utils deserialization tool angular4 project add keycloak json content environment config files initialize keycloak js use keycloak nodejs auth utils codejavascript import keycloak keycloak jsimport config keycloak auth utils let config new config environment keycloakconfig var keycloakauth new keycloak config code keylcoak js function loadconfig search affect url authurlsee config js https github com keycloak keycloak js bower blob master dist keycloak js#l573 codejavascript 625 kc authserverurl config url code project add line creating keycloak instance codejavascript let config new config environment keycloakconfig config url config authserverurl var keycloakauth new keycloak config code;2017-07-11T05:41:19.000-0400;Minor;0.0;0;0;7
