ProjectName;Key;title_desc;Created;Priority;Storypoint;P;S;R
SERVER;SERVER-46887;use threshold 0 selected_tests_gen part ofhttps jira mongodb org browse tig 2412 determined best threshold use 0 server engineer know threshold used determine tasks run selected tests 0 since threshold accurately captures tasks run based code changes ac threshold set 0in selected_tests_gen https github com mongodb mongo blob 36ae8a4824a88bd49ab5fa62740419c10c6bc39d buildscripts selected_tests py#l56;2020-03-16T14:18:59.000+0000;Major - P3;0.0;1;0;4
SERVER;SERVER-46983;upload repobuilding packages correct url barque service needs packages uploaded s3 run repobuilding job;2020-03-19T13:29:27.000+0000;Major - P3;0.0;1;0;4
SERVER;SERVER-44874;windows mongo shell included hang analyzer particular bf im investigating failed branches 3 6 4 0 4 2 master hang analyzer finds interesting processes python exe mongobridge exe mongod exe mongo exe particular bf believe hanging process actually shell case would helpful shell process stack traces see linked bf examples note first bf actually mongo exe hang analysis output believe incorrectly linked dup bfgs ones look;2019-11-27T18:59:20.000+0000;Major - P3;0.0;1;0;4
SERVER;SERVER-45267;complete todo listed tig 1506 todo codebase referencing resolved ticket assigned please follow link see lines code referencing resolved tickethttps github com mongodb mongo searchqtig 1506typecodethe next steps ticket either remove outdated todo follow steps todo correct latter please update summary description ticket represent work youre actually;2019-12-20T04:53:22.000+0000;Major - P3;0.0;1;0;4
SERVER;SERVER-44790;run hang analyzer shouldfail test mixed_mode_repl_nossl mixed_mode_repl_nossl expects replsettest fail due assert soon runs hang analyzer seems impractical plumb shouldrunhanganalyzer way particular assert soon fails might make sense put default testdata;2019-11-22T17:50:45.000+0000;Major - P3;0.0;1;0;4
SERVER;SERVER-46029;write core files hang analyzer running locally sans evergreen currently hang analyzer run local testing assert soon times write large core files current directory silently consume lot disk space think disable writing core files unless running evergreen;2020-02-07T14:28:57.000+0000;Major - P3;0.0;1;0;4
SERVER;SERVER-44331;benchrun errcount 0 even though ops failed benchrun still returns errcount 0;2019-10-31T03:59:30.000+0000;Major - P3;0.0;1;0;4
SERVER;SERVER-48895;complete todo listed server 46691 todo codebase referencing resolved ticket assigned please follow link see lines code referencing resolved tickethttps github com mongodb mongo searchqserver 46691typecodethe next steps ticket either remove outdated todo follow steps todo correct latter please update summary description ticket represent work youre actually;2020-06-16T16:53:35.000+0000;Major - P3;0.0;1;0;4
SERVER;SERVER-26953;track bytes read cache per query slow queries logged include information documents index entries scanned help diagnose performance issues however information doesnt tell us whether documents index entries scanned cache cache much significant performance impact reporting bytes read cache query logged would help diagnose cause performance issues related cache pressure might accomplished tracking bytes read cache per cursor per session wt computing difference value counter query query performance impact would need evaluated;2016-11-08T18:18:53.000+0000;Major - P3;0.0;1;0;4
SERVER;SERVER-20960;default index build option support config runtime add support index build preferences config file mongod runtime parameters specifically control preferences background foreground index build options edit server 24041 following request added quote would great block foreground index creation configuration quote;2015-10-16T03:14:25.000+0000;Minor - P4;0.0;0;0;7
SERVER;SERVER-17014;foreground index build blocks database reads writes discussion https groups google com forum #topic mongodb dev _1irogzoveq create index backgroundfalse many operations db blocked even engines like wiredtiger dont require per db writer lock url shows thread stacks background jobs ttlmonitor clientcursormonitor get blocked per db lock backgroundfalse index create assume bad things happen ttl enforcement doesnt run long creates problems show collections db foo getindexes queries collections database blocked duration index create backgroundtrue workaround background index creation take time;2015-01-22T23:57:46.000+0000;Major - P3;0.0;1;0;4
SERVER;SERVER-35714;recover common point rollback instead stable timestamp allow pit reads secondaries within previous batches able simply recover common point rollback instead recovering stable timestamp replaying oplog common point make rollback even faster easier understand recovery code used startup recovery;2018-06-20T21:22:30.000+0000;Major - P3;0.0;1;0;4
SERVER;SERVER-37418;background index builds batch collection scan reads inserts index every single document collection background index builds retrieve document call savestate https github com mongodb mongo blob 175f5e3c25ddba439b7d28254a4af5504aded0d8 src mongo db catalog index_create_impl cpp#l398 resets cursor restorestate repositions every single insert would efficient batch reads collection inserts index read cursors reset less often want take advantage read_once cursors work around read page cache multiple documents page;2018-10-01T22:10:22.000+0000;Major - P3;0.0;1;0;4
SERVER;SERVER-38241;update current operation log storage statistics update _curopcompletandlogoperation_ obtain storage statistics engine put opdebug completion operation reset session statistics;2018-11-26T03:33:06.000+0000;Major - P3;0.0;1;0;4
SERVER;SERVER-38242;update transaction statistics reflect storage session statistics update transaction statistics reflect storage statistics fetch session storage statistics add session storage statistics maintained transaction level required implement method add two session storage statistics bson objects needed multi statement transactions;2018-11-26T03:42:27.000+0000;Major - P3;0.0;1;0;4
