ProjectName;Key;title_desc;Created;Priority;Storypoint;P;S;R
TDP;TDP-7411;review tdc integration blocker issues https github com talend data prep ops blob smallet doc tdp 5079_prepare_migration_to_catalog docs tdc dependencies md communicate blockers tdc guys;2019-07-05T08:14:55.000-0500;Minor;0.0;0;0;7
TDP;TDP-7564;configure hadoop cluster make reachable currently possible access hadoop cluster outside vm started integration tests run either ci dev laptop cannot fully test dataprep big data fullrun export;2019-08-08T09:59:54.000-0500;Major;0.0;1;0;4
TDP;TDP-7233;remove dataprep ee documentation project remove dataprep ee documentation projectsave png generated puml put wiki;2019-05-22T04:29:25.000-0500;Minor;0.0;0;0;7
TDP;TDP-7317;send log stdout cloud mode java service cloud configuration logback send log file stdout console need remove stdout appender codejava root levelinfo appender ref refconsole appender ref refjson_file root code replace codejava root levelinfo appender ref refjson_file root code validatecheck kibana log https kibana sys int cloud talend com kibana# discover_g _a columns _source indexdocker intervalauto query query_string analyze_wildcardt querydoc origin20222ftalend cloud integration tdp2f22 sort doc timestamp desc nginx logs visible;2019-06-13T10:12:28.000-0500;Major;0.0;1;0;4
TDP;TDP-8303;timebox 3j tdp updating external talend lib sprint 57 apply guidance https github com talend data prep ee blob master docs wiki updating tdp dependencies md done daikon updated 1 15 0 https github com talend data prep core pull 421 files tsbi updated 1 16 3 2 1 20200207155242 1 16 3 20200207155242 https github com talend data prep core pull 421 daikon ee updated 1 3 0 https github com talend data prep ee pull 2730 files update tika version 1 23 update geronimo jsonb_1 0_spec version 1 2 update geronimo json_1 1_spec version 1 3 update component form 1 1 18h6 acceptance criteria acceptance criteria dor dod dev dod review dod qa existing tu ti left unchanged green change make green think twice compatibility change log updated ok core na;2020-02-03T08:53:00.000-0600;Minor;0.0;0;0;7
TDP;TDP-8439;timebox 3j tdp updating external talend lib sprint 58 apply guidance https github com talend data prep ee blob master docs wiki updating tdp dependencies md history previous ticket topic tdp 8303h6 acceptance criteria dor dod dev dod review dod qa existing tu ti left unchanged green change make green think twice compatibility change log updated na dq lib se updated 8 1 0 dq lib ee updated 7 6 0frontend package current latest talend data prep actions 1 2 0 1 2 1 talend bootstrap theme 4 30 0 4 32 2 talend dataset 23 0 0 24 0 0 talend icons 4 30 0 4 32 2 talend locales data prep core 2 4 19 2 17 0 talend locales inventory dataset 22 1 0 23 0 0 talend locales tui 4 30 1 4 32 0 talend react cmf 4 30 0 4 32 2 talend react cmf cqrs 4 30 0 4 32 2 talend react cmf router 3 2 1 3 3 0 talend react components 4 30 0 4 32 2 talend react containers 4 30 0 4 32 2 talend react datagrid 4 30 0 4 32 2 talend react faceted search 0 3 0 0 5 0 talend react forms 4 30 0 4 32 2 talend react stepper 4 30 0 4 32 2 talend sharing 6 1 0 6 1 1;2020-02-27T04:03:05.000-0600;Minor;0.0;0;0;7
TDP;TDP-8528;timebox 3j tdp updating external talend lib sprint 59 apply guidance https github com talend data prep ee blob master docs wiki updating tdp dependencies md history previous tickets topic tdp 8303 tdp 8439h6 acceptance criteria dor dod dev dod review dod qa existing tu ti left unchanged green change make green think twice compatibility change log updated na;2020-03-18T04:19:23.000-0500;Minor;0.0;0;0;7
TDP;TDP-8606;handle migration prem tdp cloud existing repm tdp customer want migrate talend cloud benefit new great functionalities enhancements etc provided cloud stack parts already handled hybrid migration data inventory migration todo list different steps required migration list particular whats missing today done automatically without requiring ps involvement;2020-03-31T04:30:35.000-0500;Minor;0.0;0;0;7
TDP;TDP-6997;tb 2 days dataset apac production datacenter seems required 60 seconds open external monitoring raised alarm 21 03 2019 104255 utc test probe try open dataset robot waited 60s without success tico 1887_1 png height250 width800 multiple things seems append time dataset service kafka cluster found couple exceptions dataset exceptions codejava march 21st 2019 111125 8852019 03 21 111113 578 error bootstrap 10 ad producer 4 apache kafka common utils kafkathread uncaught exception thread kafka producer network thread producer 4march 21st 2019 111125 5272019 03 21 111105 701 error bootstrap 10 tdp dataset c abstractcoordinatorheartbeatthread uncaught exception thread kafka coordinator heartbeat thread tdp datasetmarch 21st 2019 110142 7682019 03 21 110142 762 error bootstrap 15 tdp dataset c abstractcoordinatorheartbeatthread uncaught exception thread kafka coordinator heartbeat thread tdp datasetmarch 21st 2019 110142 7672019 03 21 110142 761 error bootstrap 15 ad producer 4 apache kafka common utils kafkathread uncaught exception thread kafka producer network thread producer 4march 21st 2019 110142 7672019 03 21 110113 217 error bootstrap 15 51 860d13fbf180 c abstractcoordinatorheartbeatthread uncaught exception thread kafka coordinator heartbeat thread anonymous c4546147 a042 439c a251 860d13fbf180march 21st 2019 105709 140exception thread pool 3 thread 1 java lang outofmemoryerror gc overhead limit exceededmarch 21st 2019 105702 2302019 03 21 105558 904 error bootstrap 15 ad producer 4 apache kafka common utils kafkathread uncaught exception thread kafka producer network thread producer 4march 21st 2019 105541 8252019 03 21 105530 290 error bootstrap 11 ad producer 4 apache kafka common utils kafkathread uncaught exception thread kafka producer network thread producer 4march 21st 2019 105450 327exception thread pool 3 thread 1 java lang outofmemoryerror gc overhead limit exceededmarch 21st 2019 105049 114exception thread asyncreporter kafkasender bootstrapservers10 72 4 289092 10 72 5 1609092 10 72 6 2419092 topiczipkin java lang outofmemoryerror gc overhead limit exceededmarch 21st 2019 104822 4982019 03 21 104818 176 error bootstrap 11 92 039fcabe7453 c abstractcoordinatorheartbeatthread uncaught exception thread kafka coordinator heartbeat thread anonymous 354016ed 5de8 48d5 a292 039fcabe7453march 21st 2019 104745 630exception thread cluster clusterid value5c936ae24cedfd000f976ea3 descriptionnull 10 72 5 23727017 java lang outofmemoryerror gc overhead limit exceededmarch 21st 2019 104731 361exception thread pool 2 thread 1 java lang outofmemoryerror gc overhead limit exceededmarch 21st 2019 104612 173exception thread serializer#excel#executor 1 java lang outofmemoryerror gc overhead limit exceededmarch 21st 2019 104547 530exception thread rxcomputationscheduler 1 java lang illegalstateexception fatal exception thrown scheduler worker thread code please find stacktrace moment 21032021_stacktraces txt peak network output kafka app cluster tico_1887_4 png height600 width1000 tico 1887_2 png height600 width1000;2019-03-29T09:14:22.000-0500;Minor;0.0;0;0;7
TDP;TDP-8628;eng prepare tdp azure tasks plan test etc test plan hybrid dependency tdc azure;2020-04-06T03:42:50.000-0500;Major;0.0;1;0;4
