ProjectName;Key;title_desc;Created;Priority;Storypoint;P;S;R
TDQ;TDQ-6306;pattern test view support hive connection issue tdq 6186 pattern test view open pop ask user select table hive generate query support hive connection;2012-10-14T23:24:20.000-0500;Minor;0.0;0;0;7
TDQ;TDQ-6520;add test case changes dbmslanguagefactory tdq 6506 please add cases test changes dbmslanguagefactory;2012-11-29T03:17:02.000-0600;Minor;0.0;0;0;7
TDQ;TDQ-7250;list modifications current plugin architecture tdqreportrun still embed unused code must remove much possible every unused dependency list plugins useful component list plugins included component nevertheless included required class list classes plugins used component list changes done classes plugin removed component;2013-05-03T08:02:01.000-0500;Major;0.0;1;0;4
TDQ;TDQ-5057;presentation improvement dq rule analysis add section row count change number matching rows number matching rows join clause;2012-03-30T22:57:13.000-0500;Major;0.0;1;0;4
TDQ;TDQ-5221;migration issues 1 try migration import button 1 423 502 lose norminal time correlation analysis 2 analysis one folder named file connecton folder open migration 413 another folder ok 3 source file 413 show redundant folder 4 migrate file 401 show analysis none report show show redundant folder udi refer pic 2 try migration logon window file 413 mdm connection lost analysis open;2012-04-24T02:44:49.000-0500;Major;0.0;1;0;4
TDQ;TDQ-6142;upgrade jtds driver org talend libraries jdbc jtds components use jtds 1 2 5 driver org talend libraries jdbc jtds lib 1 2 version dating back 2005;2012-09-11T09:36:43.000-0500;Minor;0.0;0;0;7
TDQ;TDQ-13097;temporarily remove tac authentication development purpose remove use tac authentication order simplify development done tds team well need set tac authentication back end course uncomment annotations securityconfig add conditionalonproperty tacsecurityconfid add property tdq security application properties default value none;2017-01-03T07:59:28.000-0600;Major;0.0;1;0;4
TDQ;TDQ-12173;remove requirement drools server must access internet currently drools server needs internet access order download demo project without wont start;2016-06-10T08:54:27.000-0500;Major;0.0;1;0;4
TDQ;TDQ-10216;redundant characters show value tdq_indicator_definition datamart table 1 check value datamart tdq_indicator_definition value surrounded refer pic attached also dqportal expected resultshow value correctly datamart dqportal;2015-04-21T02:05:22.000-0500;Minor;0.5;0;0;7
TDQ;TDQ-10270;deduplicate lucene dependency remove lucene core 3 0 1 library plugin update component reference 3 0 3;2015-05-05T10:48:37.000-0500;Minor;1.0;0;0;7
