ProjectName;Key;title_desc;Created;Priority;Storypoint;P;S;R
TIDOC;TIDOC-3170;broken link api documentation modules map https docs appcelerator com platform latest # api modules map documentation following sentence android sectionfor instructions examples using module refer google maps v2 android guide links broken link http docs appcelerator com titanium latest # guide google_maps_v2_for_android;2018-04-19T15:20:32.000+0000;Low;0.0;0;0;7
TIDOC;TIDOC-3125;storing user credentials keystore android storing user credentials ti app properties android extract values manifest xml using reverse engineering technique security reasons want store keystore way module created accomplish requirementcurrently ti identity module ios store user credentials keychain need similar kind module android;2018-02-05T11:58:54.000+0000;Critical;0.0;2;0;1
TIDOC;TIDOC-3232;method docs loses second parameter volkov via slackhello looks like problem documentation renderer loses second parameterhttps docs appcelerator com platform latest # api titanium ui scrollview method setcontentoffsethttps github com appcelerator titanium_mobile blob master apidoc titanium ui scrollview yml#l51;2018-08-27T14:27:30.000+0000;High;0.0;2;0;1
TIDOC;TIDOC-3192;legacy wiki leads deadlink docs going https wiki appcelerator org pages viewpage actionpageid29002574 says quote documentation relates previous versions titanium see latest documentation visit docs appcelerator com http docs appcelerator com titanium latest quote docs link leads http docs appcelerator com titanium latest exist instead link https docs appcelerator com platform latest # api;2018-05-26T20:34:18.000+0000;Critical;0.0;2;0;1
TIDOC;TIDOC-2239;link new ci nightly builds documentation stable docs ci nightly builds documentation awesome link stable build people actually find way ci nightly docs hosted github much faster cant move stable docs well;2015-06-29T08:47:33.000+0000;None;0.0;0;0;7
TIDOC;TIDOC-2338;installing windows phone sdk guide needs updated reflect current situation installing windows phone sdk guide needs updated reflect current situationhttp docs appcelerator com platform latest # guide getting_started_with_the_windows_8_sdkwe refer windows phone 8 applications support 8 1 titanium sdk 4 1 0 later appcelerator cli 4 1 0 later appcelerator studio 4 1 0 require sdk 5 0 0 mention requiring windows os 8 x 8 1 sdk requires windows os 8 1 therefore may changeswe already prospect setup windows 8 environment cannot build app run https jira appcelerator org browse timob 19686maybe consult ingo;2015-10-09T06:47:46.000+0000;High;0.0;2;0;1
TIDOC;TIDOC-1227;filter api docs platform searching api times would really handy able focus particular platform say blackberry apis available methods etc would great could filter specific platform show apis availble platform;2013-08-08T13:57:00.000+0000;Medium;0.0;1;0;4
TIDOC;TIDOC-403;android provide better explanation garbage collection following code release memory objects doesnt android use ddms watch memory # objects grow repeated launches app code simplified version posted qa thread http developer appcelerator com question 132357 memory leaks android ios simple test case code function mainviews var views var view null var i0 1000 i++ view titanium ui createview views push view views null view null code per customer memory released fine ios;2012-02-21T13:22:38.000+0000;High;0.0;2;0;1
TIDOC;TIDOC-842;support localization documentation ticket covers tool modifications required support localization including ensuring tools work unicode characters extracting localizable strings doc toolchain docgen generators jsduck add tools generating localization files xliff similar modifications necessary serve multiple locales e g docgen web site cover changes studio tools supply locale specific versions doc jsca etc;2012-10-04T16:07:56.000+0000;High;0.0;2;0;1
TIDOC;TIDOC-2398;generate additional doc formats using jsca source files tern https github com x cray tern titanium;2015-12-11T15:53:37.000+0000;Medium;0.0;1;0;4
