ProjectName;Key;title_desc;Created;Priority;Storypoint;P;S;R
TISTUD;TISTUD-780;iosconfiguration utility add ios sdk detection currently tistudio detecting ios sdk addition detecting xcode version tistudio able detect ios sdk enforce minimum ios sdk 5;2011-11-10T14:47:00.000+0000;Low;0.0;0;0;7
TISTUD;TISTUD-865;titanium studio run configuration dragging divider left leaves outline filter box steps reproduce1 create timob project2 right click project run run configurations3 drag middle divider leftresult outline filter box appears see attachment expected dragging divider left outline appear note bug appear windows xp linux 10 04;2011-11-22T17:50:41.000+0000;Trivial;0.0;0;0;7
TISTUD;TISTUD-796;titanium studio tiapp xml bad ti android runtime value throws exception launching android emulator 1 create new timob project 2 navigate tiapp editor 3 next click tiapp xml tab 4 find ti android runtime property change value value e g dsdif dfj d234 # # etc 5 save changes 6 right click project go run android emulator result build exception thrown see attachment expected able launch android emulator install android device even bad android property valuenote exception occurs installing galaxy tab 10 1 sdk 3 1;2011-11-14T12:13:28.000+0000;Medium;0.0;1;0;4
TISTUD;TISTUD-719;add controller dashboard show currently available titanium sdk update action launch update process rather yellow toast pops perhaps addition action indicates currently available titanium mobile titanium desktop sdk updates allows user initial update action;2011-10-21T23:57:36.000+0000;Medium;0.0;1;0;4
TISTUD;TISTUD-737;ti studio root preference node links child nodes seems really redundant links different pages easily accessible child nodes adds clutter suggest move links;2011-10-25T10:36:12.000+0000;Low;0.0;0;0;7
TISTUD;TISTUD-749;unexpected behavior content assist pasting code begins name space titanium 1 copy following code code titanium geolocation reversegeocoder 53 0440 5 3364 function evt ti api info reverse geolocation result1 + json stringify evt titanium geolocation reversegeocoder 52 434985236831515 6 829526424407959 function evt ti api info reverse geolocation result2 + json stringify evt code 2 paste copied code studio editorresult extra line code added3 editor move cursor around using arrow keysresult content assist distorts copied code see attached video 4 highlight entire code using command+aresult half copied code highlighted see attached video expected able copy paste code begins name space titaniumnote see attached video full behavior also bug occur copy paste following text1 code var button titanium ui createbutton title hello button addeventlistener click function e titanium api info clicked button code 2 code brown fox jumps lazy dogthe brown fox jumps lazy dog code;2011-10-26T17:44:48.000+0000;Medium;0.0;1;0;4
TISTUD;TISTUD-998;allow selection existing avd instead pre configuring one right studio select properties avd run run configurations titanium android emulator isnt configurable enough cases although modify avd created studio android tools long right name would nice feature select pre existing avd run configurations use existing avd without studio create new one might also require build script mods;2012-01-06T13:36:46.000+0000;High;0.0;2;0;1
TISTUD;TISTUD-1043;ti developer want able use titanium studio language choice requires number things happen check strings currently externalized check images need localized localized dashboard installation babelfish server allow translation titanium studio strings language packs core eclipse functionality translation strings aptana titanium studio translation installers translation core js html css content assist documents infrastructure allow translation rubles actual translation rubles requesting language specific versions content assist documents available translation help documents combining eclipse language pack studio language pack easy install titanium studio packaging translation help documents language packsrelated items translated content assist files titanium sdk;2012-01-18T17:11:36.000+0000;Low;0.0;0;0;7
TISTUD;TISTUD-1135;run debug icons greyed studio restart import appears case restart although import seems another case happens titanium project loses project natures run debug icons become greyed resetting project nature fixes issue unfortunately specific repo case yet;2012-02-01T13:14:05.000+0000;High;0.0;2;0;1
TISTUD;TISTUD-1177;prompt user property values titanium mobile sdk content assist example typing code var txt ti ui createtextfield value tempitemqty font fontsize 12 fontfamily arial keyboardtype ti ui keyboard_number_pad txt borderstyle prompt titanium ui input_borderstyle values code current jsca file looks like code name borderstyle isinternal false isinstanceproperty true since version 0 8 name titanium mobile sdk examples useragents platform android platform iphone platform ipad type number isclassproperty false description border style constant field code suggest borrow css add values field metadata would default values e code name borderstyle values titanium ui input_borderstyle_none titanium ui input_borderstyle_line titanium ui input_borderstyle_bezel titanium ui input_borderstyle_rounded code amend javascript ca processor prompt values available;2012-02-13T15:24:24.000+0000;Low;0.0;0;0;7
TISTUD;TISTUD-1181;refactor mobile plugin one plugin per platform currently single plugin mobile platforms eventual addition yet platforms road refactored set extensions points individual platforms contribute areas note adding new project wizard platform choice place list platforms displayed adding configuration block preferences checking make sure platform installed configured correctly building platform cleaning platform build running project platform debugging project platform packaging project platform;2012-02-14T12:26:41.000+0000;Critical;0.0;2;0;1
TISTUD;TISTUD-966;distribute app store support profiles name originally noted http developer appcelerator com question 129897 download link older version titanium studioit seems like multiple distribute profile name dont display properly investigate whether displaying profiles based uuid name;2011-12-27T08:23:33.000+0000;Medium;0.0;1;0;4
TISTUD;TISTUD-925;titanium studio terminal icons placed wrong area steps reproduce1 update tistudio http preview appcelerator com appcelerator studio standalone update rc 2 reopen tistudioactual terminal icons placed top app explorer tab see attachment expected terminal icons placed right hand corner terminal tab;2011-12-14T10:04:18.000+0000;Low;0.0;0;0;7
TISTUD;TISTUD-613;tistudio slows system hard time colorizing large files first scenario1 create new project2 import large fileresults whole system slows tistudio becomes slow respond lot code normal color second scenario1 create new project2 copy win1 variable begin pasting many times js file 40k lines long 3 press undo repetitivelyresults system slows cpu usage spikes many variables colorized notesive tested different systems large file needs slow cause depends system configuration faster computers need larger files testing purposes attached 20k 40k 160k line file;2011-08-31T17:06:02.000+0000;Medium;0.0;1;0;4
TISTUD;TISTUD-609;run device package alert dirty files 1 create mobile project save it2 dirty file run device packageresults packaging install process kicked offexpected simulator emulator message user dirty files offer save first fix make launch config public arrange launch config generation dialog interplay need make launch config reusable;2011-08-31T15:55:28.000+0000;High;0.0;2;0;1
TISTUD;TISTUD-464;create ui keystore management signing android application distribution user directed create keystore associated certificate provide way users create new key stores dont help manage see subtasks specifics;2011-06-20T15:42:46.000+0000;High;0.0;2;0;1
TISTUD;TISTUD-371;new mobile deskopt project app id field registers error malformed user typing field 1 launch tistud supported platform2 create new desktop mobile application3 click app id field enter valid idresults every time user types malformed app id error comes upexpected maybe check validity field focus user see error 2x writing valid app id invoke errors expected functionality;2011-05-12T09:01:32.000+0000;Low;0.0;0;0;7
