ProjectName;Key;title_desc;Created;Priority;Storypoint;P;S;R
WINDUP;WINDUP-2204;eap analysis check application analised run eap application uses java ee jakarta tecnologies run eap;2018-10-10T07:40:25.000-0400;Major;1.0;1;0;4
WINDUP;WINDUP-2185;brownie lib jar considered 3rd party archive analyzing brownie ear application https github com maarc brownie dependency graph turned brownie lib jar considered 3rd party archive please find reason happened exclude potentially un analyzed customer libs right;2018-09-28T13:30:13.000-0400;Major;1.0;1;0;4
WINDUP;WINDUP-2120;docs update eclipse plugin jbds version jbds 11 3 released april eclipse plugin documentation updated reflect latest available version;2018-07-13T08:52:29.000-0400;Major;1.0;1;0;4
WINDUP;WINDUP-2119;docs eclipse plugin download link incorrect link eclipse plugin documentation points latest development release stable release product;2018-07-13T08:47:06.000-0400;Blocker;1.0;2;0;1
WINDUP;WINDUP-2107;docs maven plugin guide working maven plugin guidehttps doc stage usersys redhat com documentation en us red_hat_application_migration_toolkit 4 1 html single maven_plugin_guide #execute verify instructions came across issue pom xmlthe version windup version tags referring 4 1 0 final however version maven repository 4 1 0 final dont know whether documents reference 4 1 0 final;2018-07-03T05:51:18.000-0400;Major;1.0;1;0;4
WINDUP;WINDUP-2080;ignore pattern ui remove button never enabled remove button w ignore pattern run configuration tab never seems become enabled;2018-06-13T20:33:51.000-0400;Major;1.0;1;0;4
WINDUP;WINDUP-2078;remove rendering reports tests shouldnt pop external browser render generated reports tests primarily jenkins;2018-06-12T15:19:42.000-0400;Major;1.0;1;0;4
WINDUP;WINDUP-2060;docs release 4 1 ga release documentation task cover work necessary create supporting documentation release 4 1;2018-06-07T03:18:41.000-0400;Major;1.0;1;0;4
WINDUP;WINDUP-2015;sorting via story points doesnt work see attached screenshot used apps folder 06;2018-05-16T07:57:30.000-0400;Major;1.0;1;0;4
WINDUP;WINDUP-2231;docs correct urls eclipse plugin page links eclipse plugins windup html date updated version;2018-10-16T23:06:18.000-0400;Major;1.0;1;0;4
WINDUP;WINDUP-1988;change inputdirectory default maven plugin src main would suggest change inputdirectory default value project build sourcedirectory code project basedir src main code way get analyze src main webapp src main resources make sense;2018-04-23T12:23:18.000-0400;Major;0.5;1;0;4
WINDUP;WINDUP-1986;maven plugin come default value windupversion right user maven plugin forced set windupversion bit odd like idea decoupling maven plugin version rhamt version pmd maven plugin similar thing default pmd version overridden assuming compatible would suggest default windupversion plugin version makes sense since right release maven plugin tied rhamt release anyways documentation cover default overriding value possible;2018-04-23T10:26:54.000-0400;Major;1.0;1;0;4
WINDUP;WINDUP-1985;remove dynamic reports 4 1 0 since dynamic reports feature wont part current release remove release specifically actually feature branch questions isis possible revert relevant commits create feature branch cherry picks commits insteadthat would preferred solution unless 100 sure side effects suspect windup 1984 windup 1983;2018-04-23T06:17:59.000-0400;Blocker;1.0;2;0;1
WINDUP;WINDUP-1983;rules displayed execution details see attached screenshot;2018-04-23T06:15:30.000-0400;Major;1.0;1;0;4
WINDUP;WINDUP-1982;rhamt test xml file executed testing create rule test file whatever rhamt test xml wont executed since winduprulestest https github com windup windup rulesets blob master src test java org jboss windup rules tests winduprulestest java#l117 class searches windup test xml files;2018-04-20T13:03:48.000-0400;Major;1.0;1;0;4
WINDUP;WINDUP-1975;analysis progress bar sometimes fails update clbuttic mistake https github com windup windup web blob master ui src main webapp src app services windup execution service ts#l59 causes replacement http wherever url scheme;2018-04-11T13:47:39.000-0400;Major;1.0;1;0;4
WINDUP;WINDUP-1973;windup web link analysis configuration rules configuration isnt correct link formatted like hrefconfigurationrules configuration triggering browser slowly reload also breaks back button;2018-04-10T11:55:51.000-0400;Critical;1.0;2;0;1
WINDUP;WINDUP-1958;tech reports technology ambiguous 4 1 0 introducing technology reports additionally technologies application details page actually tags think bit confusing need get wording consistent;2018-04-09T08:08:25.000-0400;Major;1.0;1;0;4
